rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
240,Evan Hull,25325,evan-hull,HOU,7,RB,74,233,&nbsp;,217,&nbsp;,&nbsp;,225.0,9220
241,Noah Fant,17527,noah-fant,NO,11,TE,36,230,&nbsp;,223,&nbsp;,&nbsp;,226.5,5857
242,Joshua Kelley,19445,joshua-kelley,,,RB,75,236,&nbsp;,221,&nbsp;,&nbsp;,228.5,7045
243,Zach Ertz,11689,zach-ertz,,,TE,37,229,&nbsp;,228,&nbsp;,&nbsp;,228.5,1339
244,Robert Woods,11610,robert-woods,,,WR,98,237,&nbsp;,222,&nbsp;,&nbsp;,229.5,1352
245,Chase Brown,25324,chase-brown,CIN,7,RB,76,220,&nbsp;,240,&nbsp;,&nbsp;,230.0,9224
246,John Metchie III,22895,john-metchie,CAR,7,WR,99,228,&nbsp;,232,&nbsp;,&nbsp;,230.0,8147
247,Josh Downs,24706,josh-downs,IND,11,WR,100,249,&nbsp;,213,&nbsp;,&nbsp;,231.0,9500
248,Wan'Dale Robinson,22985,wandale-robinson,TEN,7,WR,101,244,&nbsp;,218,&nbsp;,&nbsp;,231.0,8126
249,Noah Brown,16443,noah-brown,,,WR,102,366,&nbsp;,394,96,&nbsp;,285.3,4234
250,Allen Robinson II,12126,allen-robinson,,,WR,103,242,&nbsp;,230,&nbsp;,&nbsp;,236.0,1992
251,Julio Jones,9867,julio-jones,,,WR,104,&nbsp;,&nbsp;,&nbsp;,100,&nbsp;,100.0,947
252,Keaontay Ingram,23162,keaontay-ingram,,,RB,77,270,&nbsp;,234,&nbsp;,&nbsp;,252.0,8221
253,Marvin Jones Jr.,11215,marvin-jones,,,WR,105,271,&nbsp;,239,&nbsp;,&nbsp;,255.0,1067
254,Mack Hollins,16489,mack-hollins,NE,11,WR,106,293,&nbsp;,220,&nbsp;,&nbsp;,256.5,4177
255,Calvin Austin III,23739,calvin-austin,NYG,13,WR,107,279,&nbsp;,236,&nbsp;,&nbsp;,257.5,8125
256,Cedric Tillman,25287,cedric-tillman,CLE,5,WR,108,269,&nbsp;,246,&nbsp;,&nbsp;,257.5,10444
257,Kendrick Bourne,17066,kendrick-bourne,ARI,14,WR,109,283,&nbsp;,233,&nbsp;,&nbsp;,258.0,4454
258,Terrace Marshall Jr.,23242,terrace-marshall,MIA,10,WR,110,264,&nbsp;,253,&nbsp;,&nbsp;,258.5,7565
259,Isaiah Spiller,23143,isaiah-spiller,,,RB,78,265,&nbsp;,255,&nbsp;,&nbsp;,260.0,8153
260,Deonte Harty,18876,deonte-harty,,,WR,111,294,&nbsp;,227,&nbsp;,&nbsp;,260.5,6234
261,Logan Thomas,12095,logan-thomas,,,TE,38,278,&nbsp;,247,&nbsp;,&nbsp;,262.5,2251
262,Cole Turner,23727,cole-turner,MIA,10,TE,39,286,&nbsp;,241,&nbsp;,&nbsp;,263.5,8214
263,San Francisco 49ers,8270,,,9,DST,1,156,&nbsp;,&nbsp;,&nbsp;,&nbsp;,156.0,
264,Tutu Atwell,20126,tutu-atwell,MIA,10,WR,112,303,&nbsp;,229,&nbsp;,&nbsp;,266.0,7562
265,Chris Evans,22797,chris-evans,,,RB,79,287,&nbsp;,245,&nbsp;,&nbsp;,266.0,7794
266,Pierre Strong Jr.,24173,pierre-strong-jr,GB,6,RB,80,267,&nbsp;,266,&nbsp;,&nbsp;,266.5,8116
267,Jelani Woods,23829,jelani-woods,NYJ,7,TE,40,247,&nbsp;,288,&nbsp;,&nbsp;,267.5,8219
268,Chase Edmonds,17496,chase-edmonds,WAS,14,RB,81,263,&nbsp;,273,&nbsp;,&nbsp;,268.0,5000
269,Sam Darnold,17236,sam-darnold,SEA,5,QB,34,272,&nbsp;,264,&nbsp;,&nbsp;,268.0,4943
270,Dallas Cowboys,8080,,,7,DST,2,167,&nbsp;,&nbsp;,&nbsp;,&nbsp;,167.0,
271,Philadelphia Eagles,8230,,,10,DST,3,168,&nbsp;,&nbsp;,&nbsp;,&nbsp;,168.0,
272,Trey Lance,20082,trey-lance,LAC,5,QB,35,258,&nbsp;,287,&nbsp;,&nbsp;,272.5,7610
273,New England Patriots,8180,,,11,DST,4,176,&nbsp;,&nbsp;,&nbsp;,&nbsp;,176.0,
274,Zach Evans,23122,zach-evans,,,RB,82,260,&nbsp;,292,&nbsp;,&nbsp;,276.0,9222
275,Tyquan Thornton,22913,tyquan-thornton,KC,10,WR,113,275,&nbsp;,279,&nbsp;,&nbsp;,277.0,8188
276,Buffalo Bills,8030,,,13,DST,5,180,&nbsp;,&nbsp;,&nbsp;,&nbsp;,180.0,
277,New York Jets,8210,,,7,DST,6,181,&nbsp;,&nbsp;,&nbsp;,&nbsp;,181.0,
278,Trey Palmer,25331,trey-palmer,NO,11,WR,114,316,&nbsp;,242,&nbsp;,&nbsp;,279.0,9492
279,Daniel Bellinger,24238,daniel-bellinger,TEN,7,TE,41,291,&nbsp;,270,&nbsp;,&nbsp;,280.5,8225
280,Pittsburgh Steelers,8240,,,6,DST,7,186,&nbsp;,&nbsp;,&nbsp;,&nbsp;,186.0,
281,Randall Cobb,9902,randall-cobb,,,WR,115,319,&nbsp;,243,&nbsp;,&nbsp;,281.0,928
282,Adam Trautman,19423,adam-trautman,DEN,9,TE,42,302,&nbsp;,260,&nbsp;,&nbsp;,281.0,6869
283,Baltimore Ravens,8020,,,13,DST,8,190,&nbsp;,&nbsp;,&nbsp;,&nbsp;,190.0,
284,Joshua Dobbs,16417,joshua-dobbs,,,QB,36,292,&nbsp;,278,&nbsp;,&nbsp;,285.0,4179
285,New Orleans Saints,8190,,,11,DST,9,198,&nbsp;,&nbsp;,&nbsp;,&nbsp;,198.0,
286,Luke Schoonmaker,25267,luke-schoonmaker,DAL,7,TE,43,310,&nbsp;,265,&nbsp;,&nbsp;,287.5,10871
287,Will Levis,22987,will-levis,TEN,7,QB,37,274,&nbsp;,303,&nbsp;,&nbsp;,288.5,9999
288,Jacksonville Jaguars,8140,,,9,DST,10,202,&nbsp;,&nbsp;,&nbsp;,&nbsp;,202.0,
289,Dyami Brown,20113,dyami-brown,WAS,14,WR,116,323,&nbsp;,257,&nbsp;,&nbsp;,290.0,7587
290,A.T. Perry,24353,at-perry,PIT,6,WR,117,297,&nbsp;,283,&nbsp;,&nbsp;,290.0,10863
291,Miami Dolphins,8160,,,10,DST,11,205,&nbsp;,&nbsp;,&nbsp;,&nbsp;,205.0,
292,Kansas City Chiefs,8150,,,10,DST,12,208,&nbsp;,&nbsp;,&nbsp;,&nbsp;,208.0,
293,Denver Broncos,8090,,,9,DST,13,210,&nbsp;,&nbsp;,&nbsp;,&nbsp;,210.0,
294,Darnell Washington,22967,darnell-washington,PIT,6,TE,44,325,&nbsp;,261,&nbsp;,&nbsp;,293.0,9479
295,Matt Breida,17058,matt-breida,,,RB,83,314,&nbsp;,272,&nbsp;,&nbsp;,293.0,4455
296,Aidan O'Connell,24330,aidan-oconnell,LV,13,QB,38,318,&nbsp;,271,&nbsp;,&nbsp;,294.5,10866
297,DeWayne McBride,25265,dewayne-mcbride,,,RB,84,284,&nbsp;,306,&nbsp;,&nbsp;,295.0,9512
298,Greg Dortch,18585,greg-dortch,DET,9,WR,118,304,&nbsp;,286,&nbsp;,&nbsp;,295.0,5970
299,Trayveon Williams,18607,trayveon-williams,,,RB,85,322,&nbsp;,269,&nbsp;,&nbsp;,295.5,6144
300,Washington Commanders,8310,,,14,DST,14,216,&nbsp;,&nbsp;,&nbsp;,&nbsp;,216.0,
301,Cincinnati Bengals,8060,,,7,DST,15,217,&nbsp;,&nbsp;,&nbsp;,&nbsp;,217.0,
302,Los Angeles Chargers,8250,,,5,DST,16,219,&nbsp;,&nbsp;,&nbsp;,&nbsp;,219.0,
303,Mike White,17447,mike-white,,,QB,39,305,&nbsp;,290,&nbsp;,&nbsp;,297.5,5089
304,DeMario Douglas,25304,demario-douglas,NE,11,WR,119,338,&nbsp;,258,&nbsp;,&nbsp;,298.0,9501
305,Green Bay Packers,8110,,,6,DST,17,222,&nbsp;,&nbsp;,&nbsp;,&nbsp;,222.0,
306,Trent Sherfield Sr.,17888,trent-sherfield,BUF,13,WR,120,321,&nbsp;,277,&nbsp;,&nbsp;,299.0,5154
307,Cleveland Browns,8070,,,5,DST,18,223,&nbsp;,&nbsp;,&nbsp;,&nbsp;,223.0,
308,Seattle Seahawks,8260,,,5,DST,19,226,&nbsp;,&nbsp;,&nbsp;,&nbsp;,226.0,
309,Salvon Ahmed,19449,salvon-ahmed,CHI,13,RB,86,350,&nbsp;,254,&nbsp;,&nbsp;,302.0,6918
310,Sterling Shepard,15569,sterling-shepard,,,WR,121,329,&nbsp;,275,&nbsp;,&nbsp;,302.0,3200
311,Albert Okwuegbunam Jr.,18246,albert-okwuegbunam,LV,13,TE,45,315,&nbsp;,289,&nbsp;,&nbsp;,302.0,6843
312,Kayshon Boutte,22989,kayshon-boutte,NE,11,WR,122,320,&nbsp;,285,&nbsp;,&nbsp;,302.5,9504
313,Indianapolis Colts,8130,,,11,DST,20,235,&nbsp;,&nbsp;,&nbsp;,&nbsp;,235.0,
314,Jimmy Graham,9712,jimmy-graham,,,TE,46,332,&nbsp;,281,&nbsp;,&nbsp;,306.5,616
315,Kalif Raymond,16081,kalif-raymond,CHI,13,WR,123,346,&nbsp;,268,&nbsp;,&nbsp;,307.0,3634
316,Jake Bobo,25339,jake-bobo,SEA,5,WR,124,289,&nbsp;,329,&nbsp;,&nbsp;,309.0,10867
317,Tampa Bay Buccaneers,8290,,,5,DST,21,243,&nbsp;,&nbsp;,&nbsp;,&nbsp;,243.0,
318,James Robinson,19631,james-robinson,,,RB,87,311,&nbsp;,311,&nbsp;,&nbsp;,311.0,6955
319,Detroit Lions,8100,,,9,DST,22,248,&nbsp;,&nbsp;,&nbsp;,&nbsp;,248.0,
320,New York Giants,8200,,,13,DST,23,250,&nbsp;,&nbsp;,&nbsp;,&nbsp;,250.0,
321,Braxton Berrios,17289,braxton-berrios,NYG,13,WR,125,367,&nbsp;,259,&nbsp;,&nbsp;,313.0,5121
322,Myles Gaskin,17251,myles-gaskin,,,RB,88,&nbsp;,&nbsp;,252,&nbsp;,&nbsp;,252.0,5980
323,Laviska Shenault Jr.,19221,laviska-shenault,,,WR,126,335,&nbsp;,293,&nbsp;,&nbsp;,314.0,6814
324,Andrei Iosivas,25335,andrei-iosivas,CIN,7,WR,127,324,&nbsp;,304,&nbsp;,&nbsp;,314.0,10226
325,Kyle Trask,19800,kyle-trask,,,QB,40,277,&nbsp;,356,&nbsp;,&nbsp;,316.5,7605
326,Eric Gray,23075,eric-gray,NYG,13,RB,89,334,&nbsp;,300,&nbsp;,&nbsp;,317.0,10223
327,Carolina Panthers,8040,,,7,DST,24,259,&nbsp;,&nbsp;,&nbsp;,&nbsp;,259.0,
328,Israel Abanikanda,24352,israel-abanikanda,DAL,7,RB,90,288,&nbsp;,347,&nbsp;,&nbsp;,317.5,9227
329,Tennessee Titans,8300,,,7,DST,25,261,&nbsp;,&nbsp;,&nbsp;,&nbsp;,261.0,
330,Michael Carter,22728,michael-carter-rb,TEN,7,RB,91,262,&nbsp;,&nbsp;,&nbsp;,&nbsp;,262.0,7607
331,Devin Duvernay,19270,devin-duvernay,ARI,14,WR,128,345,&nbsp;,296,&nbsp;,&nbsp;,320.5,6847
332,Colt McCoy,9702,colt-mccoy,,,QB,41,268,&nbsp;,&nbsp;,&nbsp;,&nbsp;,268.0,533
333,Chris Rodriguez Jr.,22986,chris-rodriguez-jr,JAC,9,RB,92,364,&nbsp;,284,&nbsp;,&nbsp;,324.0,10219
334,Austin Hooper,15581,austin-hooper,ATL,11,TE,47,330,&nbsp;,321,&nbsp;,&nbsp;,325.5,3202
335,Minnesota Vikings,8170,,,13,DST,26,276,&nbsp;,&nbsp;,&nbsp;,&nbsp;,276.0,
336,Houston Texans,8120,,,7,DST,27,280,&nbsp;,&nbsp;,&nbsp;,&nbsp;,280.0,
337,Kylen Granson,22841,kylen-granson,TEN,7,TE,48,&nbsp;,&nbsp;,280,&nbsp;,&nbsp;,280.0,7602
338,Robert Tonyan,16502,robert-tonyan,PIT,6,TE,49,374,&nbsp;,282,&nbsp;,&nbsp;,328.0,4602
339,Atlanta Falcons,8010,,,11,DST,28,281,&nbsp;,&nbsp;,&nbsp;,&nbsp;,281.0,
340,Nick Westbrook-Ikhine,19747,nick-westbrook,IND,11,WR,129,358,&nbsp;,299,&nbsp;,&nbsp;,328.5,7496
341,Los Angeles Rams,8280,,,10,DST,29,282,&nbsp;,&nbsp;,&nbsp;,&nbsp;,282.0,
342,Deneric Prince,25770,deneric-prince,,,RB,93,285,&nbsp;,381,&nbsp;,&nbsp;,333.0,10870
343,Clayton Tune,25227,clayton-tune,,,QB,42,290,&nbsp;,377,&nbsp;,&nbsp;,333.5,10217
344,Tyler Scott,25442,tyler-scott-wr,LAR,10,WR,130,&nbsp;,&nbsp;,291,&nbsp;,&nbsp;,291.0,9490
345,C.J. Uzomah,14084,cj-uzomah,,,TE,50,&nbsp;,&nbsp;,295,&nbsp;,&nbsp;,295.0,2460
346,Tom Brady,9603,tom-brady,,,QB,43,373,&nbsp;,298,&nbsp;,&nbsp;,335.5,167
347,Jacoby Brissett,15642,jacoby-brissett,ARI,14,QB,44,295,&nbsp;,404,&nbsp;,&nbsp;,349.5,3257
348,Chicago Bears,8050,,,13,DST,30,296,&nbsp;,&nbsp;,&nbsp;,&nbsp;,296.0,
349,Dorian Thompson-Robinson,20086,dorian-thompson-robinson,,,QB,45,&nbsp;,&nbsp;,297,&nbsp;,&nbsp;,297.0,10862
350,Malik Davis,24205,malik-davis,DAL,7,RB,94,307,&nbsp;,367,&nbsp;,&nbsp;,337.0,8800
351,Olamide Zaccheaus,18864,olamide-zaccheaus,ATL,11,WR,131,&nbsp;,&nbsp;,301,&nbsp;,&nbsp;,301.0,6271
352,Gardner Minshew II,18562,gardner-minshew,ARI,14,QB,46,301,&nbsp;,420,&nbsp;,&nbsp;,360.5,6011
353,Julius Chestnut,24689,julius-chestnut,TEN,7,RB,95,&nbsp;,&nbsp;,302,&nbsp;,&nbsp;,302.0,8254
354,Ronald Jones II,17243,ronald-jones-ii,,,RB,96,359,&nbsp;,319,&nbsp;,&nbsp;,339.0,
355,DeeJay Dallas,19521,deejay-dallas,JAC,9,RB,97,&nbsp;,&nbsp;,305,&nbsp;,&nbsp;,305.0,6931
356,Tyrion Davis-Price,22992,tyrion-davis-price,,,RB,98,357,&nbsp;,325,&nbsp;,&nbsp;,341.0,8211
357,Xavier Hutchinson,25332,xavier-hutchinson,HOU,7,WR,132,&nbsp;,&nbsp;,309,&nbsp;,&nbsp;,309.0,10218
358,Boston Scott,17612,boston-scott,,,RB,99,336,&nbsp;,349,&nbsp;,&nbsp;,342.5,5122
359,D'Ernest Johnson,19111,dernest-johnson,,,RB,100,309,&nbsp;,400,&nbsp;,&nbsp;,354.5,6694
360,Zack Kuntz,25347,zack-kuntz,,,TE,51,&nbsp;,&nbsp;,310,&nbsp;,&nbsp;,310.0,9483
361,Kene Nwangwu,23249,kene-nwangwu,NYJ,7,RB,101,&nbsp;,&nbsp;,312,&nbsp;,&nbsp;,312.0,7720
362,Jalen Guyton,18941,jalen-guyton,,,WR,133,&nbsp;,&nbsp;,313,&nbsp;,&nbsp;,313.0,6421
363,Jaleel McLaughlin,25876,jaleel-mclaughlin,DEN,9,RB,102,313,&nbsp;,&nbsp;,&nbsp;,&nbsp;,313.0,11439
364,Malik Willis,23499,malik-willis,MIA,10,QB,47,&nbsp;,&nbsp;,314,&nbsp;,&nbsp;,314.0,8161
365,Ronnie Bell,23012,ronnie-bell,NO,11,WR,134,&nbsp;,&nbsp;,315,&nbsp;,&nbsp;,315.0,10221
366,Ross Dwelley,17886,ross-dwelley,,,TE,52,&nbsp;,&nbsp;,316,&nbsp;,&nbsp;,316.0,5285
367,Kenny McIntosh,25329,kenny-mcintosh,SEA,5,RB,103,317,&nbsp;,375,&nbsp;,&nbsp;,346.0,10216
368,Corey Clement,16446,corey-clement,,,RB,104,&nbsp;,&nbsp;,317,&nbsp;,&nbsp;,317.0,4651
369,Patrick Ricard,17145,patrick-ricard,NYG,13,RB,105,&nbsp;,&nbsp;,318,&nbsp;,&nbsp;,318.0,
370,Trenton Irwin,18726,trenton-irwin,,,WR,135,339,&nbsp;,355,&nbsp;,&nbsp;,347.0,6598
371,Jamal Agnew,16666,jamal-agnew,,,WR,136,&nbsp;,&nbsp;,320,&nbsp;,&nbsp;,320.0,4198
372,Derius Davis,25334,derius-davis,LAC,5,WR,137,&nbsp;,&nbsp;,322,&nbsp;,&nbsp;,322.0,10234
373,Kyle Juszczyk,11798,kyle-juszczyk,SF,9,RB,106,&nbsp;,&nbsp;,323,&nbsp;,&nbsp;,323.0,
374,Isaiah McKenzie,16604,isaiah-mckenzie,,,WR,138,375,&nbsp;,324,&nbsp;,&nbsp;,349.5,4197
375,Donald Parham Jr.,18835,donald-parham,,,TE,53,347,&nbsp;,352,&nbsp;,&nbsp;,349.5,6074
376,Connor Heyward,24562,connor-heyward,LV,13,TE,54,&nbsp;,&nbsp;,326,&nbsp;,&nbsp;,326.0,8181
377,Mo Alie-Cox,16579,mo-alie-cox,IND,11,TE,55,326,&nbsp;,409,&nbsp;,&nbsp;,367.5,4054
378,Brandon Powell,17793,brandon-powell,,,WR,139,&nbsp;,&nbsp;,327,&nbsp;,&nbsp;,327.0,5695
379,Denzel Mims,19344,denzel-mims,DAL,7,WR,140,327,&nbsp;,&nbsp;,&nbsp;,&nbsp;,327.0,6849
380,Marquise Goodwin,11599,marquise-goodwin,,,WR,141,&nbsp;,&nbsp;,328,&nbsp;,&nbsp;,328.0,1346
381,Kenyan Drake,15637,kenyan-drake,,,RB,107,328,&nbsp;,385,&nbsp;,&nbsp;,356.5,3242
382,Samori Toure,23883,samori-toure,PHI,10,WR,142,&nbsp;,&nbsp;,330,&nbsp;,&nbsp;,330.0,8235
383,Las Vegas Raiders,8220,,,13,DST,31,331,&nbsp;,&nbsp;,&nbsp;,&nbsp;,331.0,
384,Brock Wright,23341,brock-wright,DET,9,TE,56,&nbsp;,&nbsp;,331,&nbsp;,&nbsp;,331.0,7891
385,Jalen Reagor,19219,jalen-reagor,MIA,10,WR,143,&nbsp;,&nbsp;,332,&nbsp;,&nbsp;,332.0,6798
386,Zach Wilson,22679,zach-wilson,NO,11,QB,48,363,&nbsp;,345,&nbsp;,&nbsp;,354.0,7538
387,Marquez Callaway,19505,marquez-callaway,,,WR,144,&nbsp;,&nbsp;,333,&nbsp;,&nbsp;,333.0,6989
388,Stetson Bennett IV,23927,stetson-bennett,LAR,10,QB,49,&nbsp;,&nbsp;,334,&nbsp;,&nbsp;,334.0,10857
389,Malik Cunningham,22988,malik-cunningham,DET,9,QB,50,&nbsp;,&nbsp;,335,&nbsp;,&nbsp;,335.0,10860
390,KaVontae Turpin,18520,kavontae-turpin,DAL,7,WR,145,&nbsp;,&nbsp;,336,&nbsp;,&nbsp;,336.0,8917
391,A.J. Rose Jr.,23365,asim-rose,,,RB,108,&nbsp;,&nbsp;,338,&nbsp;,&nbsp;,338.0,7918
392,Matt Ryan,9444,matt-ryan,,,QB,51,&nbsp;,&nbsp;,339,&nbsp;,&nbsp;,339.0,24
393,Arizona Cardinals,8000,,,14,DST,32,340,&nbsp;,&nbsp;,&nbsp;,&nbsp;,340.0,
394,Ben Sims,25349,ben-sims,MIA,10,TE,57,&nbsp;,&nbsp;,341,&nbsp;,&nbsp;,341.0,11082
395,Blaine Gabbert,9858,blaine-gabbert,,,QB,52,341,&nbsp;,419,&nbsp;,&nbsp;,380.0,862
396,Jesper Horsted,18482,jesper-horsted,,,TE,58,&nbsp;,&nbsp;,342,&nbsp;,&nbsp;,342.0,6075
397,Brenden Knox,23322,brenden-knox,,,RB,109,&nbsp;,&nbsp;,344,&nbsp;,&nbsp;,344.0,7858
398,Bailey Zappe,24027,bailey-zappe,NYJ,7,QB,53,344,&nbsp;,&nbsp;,&nbsp;,&nbsp;,344.0,8157
399,Tre Tucker,25337,tre-tucker,LV,13,WR,146,&nbsp;,&nbsp;,346,&nbsp;,&nbsp;,346.0,10213
400,Jonnu Smith,16460,jonnu-smith,,,TE,59,365,&nbsp;,358,&nbsp;,&nbsp;,361.5,4144
401,Jameis Winston,13891,jameis-winston,NYG,13,QB,54,353,&nbsp;,371,&nbsp;,&nbsp;,362.0,2306
402,Taylor Heinicke,13932,taylor-heinicke,,,QB,55,348,&nbsp;,398,&nbsp;,&nbsp;,373.0,2711
403,Scotty Miller,18714,scott-miller,CHI,13,WR,147,349,&nbsp;,402,&nbsp;,&nbsp;,375.5,6290
404,Raheem Blackshear,20100,raheem-blackshear,,,RB,110,&nbsp;,&nbsp;,350,&nbsp;,&nbsp;,350.0,8255
405,Jordan Akins,17415,jordan-akins,,,TE,60,&nbsp;,&nbsp;,351,&nbsp;,&nbsp;,351.0,5032
406,Jason Brownlee,25754,jason-brownlee,KC,10,WR,148,351,&nbsp;,&nbsp;,&nbsp;,&nbsp;,351.0,11311
407,Davis Mills,22799,davis-mills,HOU,7,QB,56,352,&nbsp;,&nbsp;,&nbsp;,&nbsp;,352.0,7585
408,Ameer Abdullah,13924,ameer-abdullah,JAC,9,RB,111,&nbsp;,&nbsp;,353,&nbsp;,&nbsp;,353.0,2359
409,JaMycal Hasty,19627,jamycal-hasty,,,RB,112,&nbsp;,&nbsp;,354,&nbsp;,&nbsp;,354.0,6996
410,Skylar Thompson,24170,skylar-thompson,BAL,13,QB,57,354,&nbsp;,&nbsp;,&nbsp;,&nbsp;,354.0,8206
411,Kenny Golladay,16488,kenny-golladay,,,WR,149,355,&nbsp;,&nbsp;,&nbsp;,&nbsp;,355.0,4131
412,Tyler Johnson,18633,tyler-johnson,DAL,7,WR,150,356,&nbsp;,&nbsp;,&nbsp;,&nbsp;,356.0,6960
413,Ben Skowronek,22843,ben-skowronek,PIT,6,WR,151,&nbsp;,&nbsp;,357,&nbsp;,&nbsp;,357.0,7757
414,Colby Parkinson,19372,colby-parkinson,LAR,10,TE,61,&nbsp;,&nbsp;,359,&nbsp;,&nbsp;,359.0,6865
415,Zach Pascal,16972,zach-pascal,,,WR,152,&nbsp;,&nbsp;,360,&nbsp;,&nbsp;,360.0,4319
416,La'Mical Perine,19333,lamical-perine,,,RB,113,360,&nbsp;,&nbsp;,&nbsp;,&nbsp;,360.0,6908
417,Josh Oliver,18487,josh-oliver,MIN,13,TE,62,&nbsp;,&nbsp;,361,&nbsp;,&nbsp;,361.0,5973
418,Jeremy Ruckert,23742,jeremy-ruckert,NYJ,7,TE,63,361,&nbsp;,428,&nbsp;,&nbsp;,394.5,8145
419,David Bell,23108,david-bell,,,WR,153,&nbsp;,&nbsp;,362,&nbsp;,&nbsp;,362.0,8118
420,Elijah Dotson,25558,elijah-dotson,,,RB,114,362,&nbsp;,&nbsp;,&nbsp;,&nbsp;,362.0,11114
421,Josh Ali,25218,josh-ali,,,WR,154,&nbsp;,&nbsp;,363,&nbsp;,&nbsp;,363.0,8931
422,Brandon Johnson,24233,brandon-johnson-wr,LV,13,WR,155,&nbsp;,&nbsp;,364,&nbsp;,&nbsp;,364.0,8756
423,Tyler Huntley,19297,tyler-huntley,BAL,13,QB,58,&nbsp;,&nbsp;,365,&nbsp;,&nbsp;,365.0,7083
424,Robbie Chosen,15688,robby-anderson,,,WR,156,&nbsp;,&nbsp;,366,&nbsp;,&nbsp;,366.0,3423
425,Keaton Mitchell,25360,keaton-mitchell,LAC,5,RB,115,&nbsp;,&nbsp;,368,&nbsp;,&nbsp;,368.0,9511
426,Marcus Mariota,13890,marcus-mariota,WAS,14,QB,59,368,&nbsp;,412,&nbsp;,&nbsp;,390.0,2307
427,Tyrod Taylor,10007,tyrod-taylor,GB,6,QB,60,369,&nbsp;,&nbsp;,&nbsp;,&nbsp;,369.0,827
428,Brycen Hopkins,19234,brycen-hopkins,,,TE,64,&nbsp;,&nbsp;,369,&nbsp;,&nbsp;,369.0,6926
429,Anthony McFarland Jr.,19366,anthony-mcfarland,,,RB,116,370,&nbsp;,386,&nbsp;,&nbsp;,378.0,6878
430,Peyton Hendershot,22971,peyton-hendershot,,,TE,65,371,&nbsp;,&nbsp;,&nbsp;,&nbsp;,371.0,8197
431,Xavier Gipson,25758,xavier-gipson,NYG,13,WR,157,&nbsp;,&nbsp;,372,&nbsp;,&nbsp;,372.0,11306
432,Foster Moreau,18397,foster-moreau,HOU,7,TE,66,372,&nbsp;,408,&nbsp;,&nbsp;,390.0,5985
433,Easton Stick,18446,easton-stick,IND,11,QB,61,&nbsp;,&nbsp;,373,&nbsp;,&nbsp;,373.0,6185
434,C.J. Beathard,16419,cj-beathard,,,QB,62,&nbsp;,&nbsp;,374,&nbsp;,&nbsp;,374.0,4127
435,Antoine Green,25466,antoine-green,,,WR,158,&nbsp;,&nbsp;,376,&nbsp;,&nbsp;,376.0,11053
436,Jalen Nailor,24177,jalen-nailor,LV,13,WR,159,&nbsp;,&nbsp;,378,&nbsp;,&nbsp;,378.0,8180
437,Blake Bell,13966,blake-bell,,,TE,67,&nbsp;,&nbsp;,379,&nbsp;,&nbsp;,379.0,2422
438,Mike Boone,17813,mike-boone,,,RB,117,&nbsp;,&nbsp;,380,&nbsp;,&nbsp;,380.0,5209
439,Keric Wheatfall,24928,keric-wheatfall,,,WR,160,&nbsp;,&nbsp;,382,&nbsp;,&nbsp;,382.0,8892
440,Devon Allen,24470,devon-allen,,,WR,161,&nbsp;,&nbsp;,384,&nbsp;,&nbsp;,384.0,8411
441,Todd Gurley II,13912,todd-gurley,,,RB,118,&nbsp;,&nbsp;,387,&nbsp;,&nbsp;,387.0,2315
442,Josh Hill,13565,josh-hill-te,,,TE,68,&nbsp;,&nbsp;,388,&nbsp;,&nbsp;,388.0,1777
443,Ihmir Smith-Marsette,20116,ihmir-smithmarsette,ARI,14,WR,162,&nbsp;,&nbsp;,389,&nbsp;,&nbsp;,389.0,7559
444,River Cracraft,17224,river-cracraft,,,WR,163,&nbsp;,&nbsp;,390,&nbsp;,&nbsp;,390.0,4854
445,Charlie Jones,25336,charlie-jones,CIN,7,WR,164,&nbsp;,&nbsp;,391,&nbsp;,&nbsp;,391.0,10228
446,Lil'Jordan Humphrey,18590,liljordan-humphrey,DEN,9,WR,165,&nbsp;,&nbsp;,392,&nbsp;,&nbsp;,392.0,5938
447,Craig Reynolds,19074,craig-reynolds,,,RB,119,&nbsp;,&nbsp;,393,&nbsp;,&nbsp;,393.0,6659
448,Brenton Strange,25345,brenton-strange,JAC,9,TE,69,&nbsp;,&nbsp;,395,&nbsp;,&nbsp;,395.0,9480
449,Jody Fortson Jr.,18831,joe-fortson,,,TE,70,&nbsp;,&nbsp;,396,&nbsp;,&nbsp;,396.0,6665
450,Parker Washington,23106,parker-washington,JAC,9,WR,166,&nbsp;,&nbsp;,397,&nbsp;,&nbsp;,397.0,9487
451,Kyle Philips,23896,kyle-philips,,,WR,167,&nbsp;,&nbsp;,399,&nbsp;,&nbsp;,399.0,8171
452,Byron Pringle,17739,byron-pringle,,,WR,168,&nbsp;,&nbsp;,401,&nbsp;,&nbsp;,401.0,5199
453,Erik Ezukanma,23755,erik-ezukanma,PHI,10,WR,169,&nbsp;,&nbsp;,403,&nbsp;,&nbsp;,403.0,8114
454,DeAndre Carter,14103,deandre-carter,,,WR,170,&nbsp;,&nbsp;,405,&nbsp;,&nbsp;,405.0,2750
455,Justin Shorter,24083,justin-shorter,LV,13,WR,171,&nbsp;,&nbsp;,406,&nbsp;,&nbsp;,406.0,9489
456,Will Dissly,18049,will-dissly,,,TE,71,&nbsp;,&nbsp;,407,&nbsp;,&nbsp;,407.0,5010
