rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,rtsports,fantrax,real_time,avg,sleeper_id
165,Denzel Boston,27339,denzel-boston,CLE,11,WR,58,192,170,173,171,155,156,172.2,13346
166,Tank Bigsby,22908,tank-bigsby,PHI,10,RB,53,210,180,163,149,162,154,172.8,9225
167,Los Angeles Chargers DST,8250,,,7,DST,11,170,168,165,182,181,181,173.2,
168,Malik Willis,23499,malik-willis,MIA,6,QB,21,178,208,164,166,151,169,173.4,8161
169,T.J. Hockenson,18290,tj-hockenson,MIN,6,TE,19,151,164,199,168,194,172,175.2,5844
170,Tre Tucker,25337,tre-tucker,LV,13,WR,59,204,202,162,160,152,155,176,10213
171,Dalton Schultz,17349,dalton-schultz,HOU,8,TE,20,191,178,159,181,171,160,176,5001
172,Ja'Kobi Lane,27337,jakobi-lane,BAL,13,WR,60,197,160,167,165,199,157,177.6,13293
173,Kenyon Sadiq,26055,kenyon-sadiq,NYJ,13,TE,21,176,172,189,188,174,187,179.8,13330
174,Dylan Sampson,27102,dylan-sampson,CLE,11,RB,54,217,188,176,162,159,173,180.4,12469
175,Harrison Butker,16712,harrison-butker,KC,5,K,8,141,159,186,216,209,198,182.2,4227
176,Terrance Ferguson,23091,terrance-ferguson,LAR,11,TE,22,181,206,198,170,158,184,182.6,12487
177,Isiah Pacheco,24333,isiah-pacheco,DET,6,RB,55,174,191,169,179,200,213,182.6,8205
178,Keenan Allen,11616,keenan-allen,IND,13,WR,61,173,200,185,205,156,176,183.8,1479
179,Daniel Jones,18232,daniel-jones,IND,13,QB,22,160,201,168,200,192,197,184.2,5870
180,Eddy Pineiro,17575,eddy-pineiro,SF,8,K,9,140,187,188,214,197,209,185.2,5189
181,Tyler Loop,27534,tyler-loop,BAL,13,K,10,172,175,211,197,180,208,187,12711
182,Detroit Lions DST,8100,,,6,DST,12,153,158,182,241,205,217,187.8,
183,C.J. Stroud,23071,cj-stroud,HOU,8,QB,23,171,203,171,206,188,194,187.8,9758
184,Jerry Jeudy,19201,jerry-jeudy,CLE,11,WR,62,189,185,175,201,191,188,188.2,6783
185,Sam Darnold,17236,sam-darnold,SEA,11,QB,24,161,163,152,180,311,167,193.4,4943
186,Emmett Johnson,28107,emmett-johnson,KC,5,RB,56,240,205,179,153,196,174,194.6,13337
187,Kaelon Black,28401,kaelon-black,SF,8,RB,57,304,194,166,144,176,158,196.8,13414
188,Will Reichard,26341,will-reichard,MIN,6,K,11,180,169,203,233,231,203,203.2,11792
189,Evan McPherson,23297,evan-mcpherson,CIN,6,K,12,199,179,190,244,204,202,203.2,7839
190,Dallas Cowboys DST,8080,,,14,DST,13,179,199,196,217,242,224,206.6,
191,Green Bay Packers DST,8110,,,11,DST,14,208,204,207,218,210,263,209.4,
192,Buffalo Bills DST,8030,,,7,DST,15,193,217,194,231,221,261,211.2,
193,Kansas City Chiefs DST,8150,,,5,DST,16,175,226,205,251,215,274,214.4,
194,Cairo Santos,13731,cairo-santos,CHI,10,K,13,188,230,202,243,230,259,218.6,2020
195,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,8,RB,58,,173,158,141,150,182,155.5,11655
196,Kayshon Boutte,22989,kayshon-boutte,HOU,8,WR,63,,196,191,151,160,180,174.5,9504
197,Braelon Allen,24346,braelon-allen,NYJ,13,RB,59,,207,178,167,169,193,180.3,11576
198,Cleveland Browns DST,8070,,,11,DST,17,158,399,206,247,232,258,248.4,
199,Chig Okonkwo,23982,chigoziem-okonkwo,WAS,7,TE,23,,190,197,178,178,177,185.8,8210
200,Jalen McMillan,23179,jalen-mcmillan,TB,10,WR,64,164,209,,193,184,183,187.5,11618
201,Jalen Nailor,24177,jalen-nailor,LV,13,WR,65,,181,214,187,177,179,189.8,8180
202,Cyrus Allen,28424,cyrus-allen,KC,5,WR,66,232,177,,215,147,185,192.8,13413
203,Jauan Jennings,19590,jauan-jennings,MIN,6,WR,67,,212,212,204,154,214,195.5,7049
204,Wil Lutz,16026,wil-lutz,DEN,10,K,14,206,365,213,242,270,267,259.2,3678
205,Malik Washington,26314,malik-washington,MIA,6,WR,68,250,174,,202,182,165,202,11610
206,Chris Boswell,13029,chris-boswell,PIT,9,K,15,168,152,,248,246,192,203.5,1945
207,AJ Barner,26335,aj-barner,SEA,11,TE,24,214,186,201,,214,204,203.8,11603
208,Caleb Douglas,28135,caleb-douglas,MIA,6,WR,69,,198,204,196,218,191,204,13296
209,Cooper Kupp,16433,cooper-kupp,SEA,11,WR,70,201,197,209,,212,195,204.8,4039
210,Bryce Young,22900,bryce-young,CAR,5,QB,25,186,234,,208,202,245,207.5,9228
211,Trey Smack,28507,trey-smack,GB,11,K,16,184,195,,234,220,246,208.3,13545
212,Cam Ward,24755,cam-ward,TEN,9,QB,26,198,249,,224,195,225,216.5,12522
213,San Francisco 49ers DST,8270,,,8,DST,18,194,213,,240,244,232,222.8,
214,Andy Borregales,27291,andres-borregales,NE,11,K,17,,193,215,226,262,244,224,12713
215,Greg Dulcich,23153,greg-dulcich,MIA,6,TE,25,,248,200,232,222,255,225.5,8172
216,Chicago Bears DST,8050,,,10,DST,19,203,218,,249,233,266,225.8,
217,Chase McLaughlin,19058,chase-mclaughlin,TB,10,K,18,,221,210,227,245,238,225.8,6650
218,David Njoku,16399,david-njoku,LAC,7,TE,26,219,224,,209,265,233,229.3,4033
219,Cade Otton,23181,cade-otton,TB,10,TE,27,,270,195,230,248,234,235.8,8111
220,Jacoby Brissett,15642,jacoby-brissett,ARI,14,QB,27,220,324,,219,216,218,244.8,3257
221,Calvin Ridley,17258,calvin-ridley,TEN,9,WR,71,,364,193,220,206,248,245.8,4981
222,Pat Freiermuth,20163,pat-freiermuth,PIT,9,TE,28,211,302,,250,238,229,250.3,7600
223,New York Giants DST,8200,,,8,DST,20,215,295,,236,272,264,254.5,
224,Oronde Gadsden II,25997,oronde-gadsden-ii,LAC,7,TE,29,,150,,191,183,190,174.7,12493
225,Tank Dell,25361,nathaniel-dell,HOU,8,WR,72,169,189,,,208,201,188.7,9502
226,Omar Cooper Jr.,28127,omar-cooper-jr,NYJ,13,WR,73,,192,,190,186,216,189.3,13276
227,Ray Davis,26191,ray-davis,BUF,7,RB,60,,227,,184,193,189,201.3,11575
228,Tyler Bass,19760,tyler-bass,BUF,7,K,19,205,447,,245,217,271,278.5,7042
229,Fernando Mendoza,28013,fernando-mendoza,LV,13,QB,28,187,184,,,252,231,207.7,13269
230,Malachi Fields,27994,malachi-fields,NYG,8,WR,74,,219,,199,227,211,215,13285
231,Najee Harris,19302,najee-harris-rb,NYG,8,RB,61,,223,,194,236,205,217.7,7528
232,Kaleb Johnson,27165,kaleb-johnson-rb,GB,11,RB,62,,215,,176,266,196,219,12504
233,Adonai Mitchell,24357,adonai-mitchell,NYJ,13,WR,75,,255,,203,201,199,219.7,11625
234,Aaron Rodgers,9001,aaron-rodgers,PIT,9,QB,29,195,244,,,224,227,221,96
235,Ryan Flournoy,26398,ryan-flournoy,DAL,14,WR,76,,253,,213,198,222,221.3,11783
236,Atlanta Falcons DST,8010,,,11,DST,21,,241,177,,251,,223,
237,Isaac TeSlaa,27446,isaac-teslaa,DET,6,WR,77,,237,,222,213,251,224,12535
238,Tre' Harris,26215,tre-harris,LAC,7,WR,78,,252,,212,211,220,225,12509
239,Tennessee Titans DST,8300,,,9,DST,22,261,408,,252,274,269,298.8,
240,Jake Elliott,16540,jake-elliott,PHI,10,K,20,196,216,,,285,265,232.3,4195
241,Zachariah Branch,25419,zachariah-branch,ATL,11,WR,79,,210,,254,235,249,233,13320
242,Nicholas Singleton,24343,nick-singleton,TEN,9,RB,63,,235,,211,254,215,233.3,13288
243,Kimani Vidal,26355,kimani-vidal,LAC,7,RB,64,,289,,210,207,240,235.3,11647
244,Chris Bell,26038,chris-bell,MIA,6,WR,80,,307,,189,228,207,241.3,13311
245,Pat Bryant,27211,pat-bryant,DEN,10,WR,81,,236,,239,258,212,244.3,12492
246,Tyreek Hill,15802,tyreek-hill,,,WR,82,229,232,,,275,237,245.3,3321
247,Kaytron Allen,24362,kaytron-allen,WAS,7,RB,65,,299,,198,250,241,249,13405
248,Sean Tucker,23679,sean-tucker,TB,10,RB,66,,328,,207,229,257,254.7,9506
249,Rashod Bateman,19794,rashod-bateman,BAL,13,WR,83,,265,,253,256,221,258,7571
250,Ted Hurst III,28130,ted-hurst,TB,10,WR,84,,300,,223,263,250,262,13317
251,J.J. McCarthy,23018,jj-mccarthy,MIN,6,QB,30,241,228,,,318,,262.3,11565
252,New Orleans Saints DST,8190,,,8,DST,23,,334,192,,267,,264.3,
253,Devaughn Vele,26409,devaughn-vele,NO,8,WR,85,,301,,225,269,210,265,11834
254,Shedeur Sanders,25968,shedeur-sanders,CLE,11,QB,31,237,282,,,279,,266,12524
255,Jaylen Wright,25987,jaylen-wright,MIA,6,RB,67,,346,,221,243,242,270,11643
