rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
329,Zay Malone,25647,xavier-malone,,,WR,109,300,&nbsp;,300.0,11189
330,Alec Pierce,23791,alec-pierce,IND,14,WR,110,&nbsp;,301,301.0,8142
331,Frank Gore Jr.,25980,frank-gore-jr,BUF,12,RB,92,301,&nbsp;,301.0,11573
332,Josh Reynolds,16439,josh-reynolds,,,WR,111,303,&nbsp;,303.0,4171
333,Mark Ingram II,9872,mark-ingram,,,RB,93,305,&nbsp;,305.0,956
334,Los Angeles Rams,8280,,,6,DST,29,306,&nbsp;,306.0,
335,Jalen Nailor,24177,jalen-nailor,LV,10,WR,112,&nbsp;,306,306.0,8180
336,Evan Hull,25325,evan-hull,HOU,14,RB,94,308,&nbsp;,308.0,9220
337,Jacksonville Jaguars,8140,,,12,DST,30,311,&nbsp;,311.0,
338,Wendell Smallwood,15672,wendell-smallwood,,,RB,95,312,&nbsp;,312.0,3309
339,Nick Keizer,18054,nick-keizer,,,TE,41,314,&nbsp;,314.0,5465
340,Mo Alie-Cox,16579,mo-alie-cox,IND,14,TE,42,316,&nbsp;,316.0,4054
341,James White,12195,james-white,,,RB,96,319,&nbsp;,319.0,1848
342,Anthony Johnson,25539,anthony-johnson-db,,,CB,1,322,&nbsp;,322.0,5929
343,A.T. Perry,24353,at-perry,PIT,9,WR,113,323,&nbsp;,323.0,10863
344,Jason Witten,9275,jason-witten,,,TE,43,324,&nbsp;,324.0,23
345,Vernon Davis,9621,vernon-davis,,,TE,44,326,&nbsp;,326.0,200
