rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
274,Brandon Zylstra,17232,brandon-zylstra,,,WR,97,&nbsp;,&nbsp;,&nbsp;,255.0,4878
275,Rod Smith,14396,rod-smith,,,RB,74,&nbsp;,&nbsp;,&nbsp;,257.0,
276,Tre'Quan Smith,17261,trequan-smith,,,WR,98,&nbsp;,&nbsp;,&nbsp;,258.0,5026
277,Darren Sproles,9155,darren-sproles,,,RB,75,&nbsp;,&nbsp;,&nbsp;,259.0,246
278,Elijah McGuire,16454,elijah-mcguire,,,RB,76,&nbsp;,&nbsp;,&nbsp;,260.0,4263
279,Virgil Green,10026,virgil-green,,,TE,36,&nbsp;,&nbsp;,&nbsp;,261.0,868
280,Antonio Gates,9027,antonio-gates,,,TE,37,&nbsp;,&nbsp;,&nbsp;,262.0,322
281,Kai Forbath,10081,kai-forbath,,,K,20,&nbsp;,&nbsp;,&nbsp;,263.0,1287
282,Jonathan Stewart,9317,jonathan-stewart,,,RB,77,&nbsp;,&nbsp;,&nbsp;,264.0,218
283,Dante Pettis,17264,dante-pettis,NO,6,WR,99,&nbsp;,&nbsp;,&nbsp;,265.0,4992
284,Sam Darnold,17236,sam-darnold,SEA,7,QB,33,&nbsp;,&nbsp;,&nbsp;,266.0,4943
285,Chase Edmonds,17496,chase-edmonds,WAS,4,RB,78,&nbsp;,&nbsp;,&nbsp;,267.0,5000
286,Taywan Taylor,16426,taywan-taylor,,,WR,100,&nbsp;,&nbsp;,&nbsp;,268.0,4125
287,Stephen Hauschka,9581,steven-hauschka,,,K,21,&nbsp;,&nbsp;,&nbsp;,269.0,775
288,Josh Allen,17298,josh-allen-qb,BUF,11,QB,34,&nbsp;,&nbsp;,&nbsp;,271.0,4984
289,Keke Coutee,17490,keke-coutee,,,WR,101,&nbsp;,&nbsp;,&nbsp;,272.0,5007
290,DJ Chark Jr.,17292,dj-chark,,,WR,102,&nbsp;,&nbsp;,&nbsp;,273.0,4951
291,Mark Andrews,17269,mark-andrews,BAL,10,TE,38,&nbsp;,&nbsp;,&nbsp;,274.0,5012
292,Kevin White,13899,kevin-white,,,WR,103,&nbsp;,&nbsp;,&nbsp;,275.0,2312
293,Chester Rogers,16038,chester-rogers,,,WR,104,&nbsp;,&nbsp;,&nbsp;,277.0,3582
294,Stephen Anderson,15760,stephen-anderson,,,TE,39,&nbsp;,&nbsp;,&nbsp;,278.0,3496
295,Malcolm Brown,13953,malcolm-brown,,,RB,79,&nbsp;,&nbsp;,&nbsp;,279.0,2588
296,Corey Grant,14263,corey-grant,,,RB,80,&nbsp;,&nbsp;,&nbsp;,280.0,2729
297,Adam Shaheen,16457,adam-shaheen,,,TE,40,&nbsp;,&nbsp;,&nbsp;,281.0,4085
298,Ameer Abdullah,13924,ameer-abdullah,JAC,9,RB,81,&nbsp;,&nbsp;,&nbsp;,282.0,2359
299,Gerald Everett,16459,gerald-everett,,,TE,41,&nbsp;,&nbsp;,&nbsp;,283.0,4089
300,C.J. Prosise,15614,cj-prosise,,,RB,82,&nbsp;,&nbsp;,&nbsp;,284.0,3204
301,Jaron Brown,11898,jaron-brown,,,WR,105,&nbsp;,&nbsp;,&nbsp;,285.0,1684
302,Curtis Samuel,16434,curtis-samuel,,,WR,106,&nbsp;,&nbsp;,&nbsp;,287.0,4082
303,Travaris Cadet,11470,travaris-cadet,,,RB,83,&nbsp;,&nbsp;,&nbsp;,288.0,1185
304,Rico Gathers,15808,rico-gathers,,,TE,42,&nbsp;,&nbsp;,&nbsp;,289.0,3372
305,Cameron Artis-Payne,13942,cameron-artis-payne,,,RB,84,&nbsp;,&nbsp;,&nbsp;,290.0,2477
306,Ryan Fitzpatrick,9545,ryan-fitzpatrick,,,QB,35,&nbsp;,&nbsp;,&nbsp;,291.0,333
307,Wayne Gallman Jr.,16422,wayne-gallman,,,RB,85,&nbsp;,&nbsp;,&nbsp;,292.0,4150
308,Nick Foles,11176,nick-foles,,,QB,36,&nbsp;,&nbsp;,&nbsp;,293.0,1029
309,Charles Sims,12104,charles-sims,,,RB,86,&nbsp;,&nbsp;,&nbsp;,294.0,2223
310,Geoff Swaim,14164,geoff-swaim,,,TE,43,&nbsp;,&nbsp;,&nbsp;,295.0,2545
311,Josh Rosen,17235,josh-rosen,,,QB,37,&nbsp;,&nbsp;,&nbsp;,296.0,4863
312,Taylor Gabriel,12888,taylor-gabriel,,,WR,107,&nbsp;,&nbsp;,&nbsp;,297.0,1903
313,Jake Kumerow,14083,jake-kumerow,,,WR,108,&nbsp;,&nbsp;,&nbsp;,298.0,2821
314,Nick Vannett,15645,nick-vannett,LAR,12,TE,44,&nbsp;,&nbsp;,&nbsp;,300.0,3258
315,Dustin Hopkins,11818,dustin-hopkins,,,K,22,&nbsp;,&nbsp;,&nbsp;,301.0,1348
316,J'Mon Moore,17291,jmon-moore,,,WR,109,&nbsp;,&nbsp;,&nbsp;,302.0,5006
317,Matt Barkley,11686,matt-barkley,,,QB,38,&nbsp;,&nbsp;,&nbsp;,303.0,1338
318,Joe Williams,16451,joe-williams,,,RB,87,&nbsp;,&nbsp;,&nbsp;,304.0,4042
319,Antonio Callaway,17286,antonio-callaway,,,WR,110,&nbsp;,&nbsp;,&nbsp;,305.0,5310
320,J.J. Nelson,14234,jj-nelson,,,WR,111,&nbsp;,&nbsp;,&nbsp;,306.0,2462
321,Trent Taylor,16505,trent-taylor,,,WR,112,&nbsp;,&nbsp;,&nbsp;,307.0,4218
322,Brice Butler,11837,brice-butler,,,WR,113,&nbsp;,&nbsp;,&nbsp;,308.0,1471
323,Mike Gillislee,11657,mike-gillislee,,,RB,88,&nbsp;,&nbsp;,&nbsp;,309.0,1353
324,Jacoby Brissett,15642,jacoby-brissett,ARI,9,QB,39,&nbsp;,&nbsp;,&nbsp;,310.0,3257
325,Jonnu Smith,16460,jonnu-smith,,,TE,45,&nbsp;,&nbsp;,&nbsp;,311.0,4144
326,Kenny Britt,9353,kenny-britt,,,WR,114,&nbsp;,&nbsp;,&nbsp;,312.0,366
327,Laquon Treadwell,15495,laquon-treadwell,IND,9,WR,115,&nbsp;,&nbsp;,&nbsp;,313.0,3155
328,Stevan Ridley,9928,stevan-ridley,,,RB,89,&nbsp;,&nbsp;,&nbsp;,314.0,811
329,Josh McCown,9327,josh-mccown,,,QB,40,&nbsp;,&nbsp;,&nbsp;,315.0,208
330,Dwayne Allen,11219,dwayne-allen,,,TE,46,&nbsp;,&nbsp;,&nbsp;,316.0,1105
331,Tyler Kroft,13960,tyler-kroft,,,TE,47,&nbsp;,&nbsp;,&nbsp;,317.0,2390
332,Robert Turbin,11191,robert-turbin,,,RB,90,&nbsp;,&nbsp;,&nbsp;,318.0,1232
333,Jeremy Maclin,9289,jeremy-maclin,,,WR,116,&nbsp;,&nbsp;,&nbsp;,319.0,411
334,Torrey Smith,9884,torrey-smith,,,WR,117,&nbsp;,&nbsp;,&nbsp;,320.0,826
335,Brian Hoyer,9078,brian-hoyer,,,QB,41,&nbsp;,&nbsp;,&nbsp;,321.0,345
336,Jacquizz Rodgers,9894,jacquizz-rodgers,,,RB,91,&nbsp;,&nbsp;,&nbsp;,322.0,949
337,J.D. McKissic,16230,jd-mckissic,,,RB,92,&nbsp;,&nbsp;,&nbsp;,323.0,3664
338,Chad Williams,16728,chad-williams,,,WR,118,&nbsp;,&nbsp;,&nbsp;,324.0,4128
339,Orleans Darkwa,13774,orleans-darkwa,,,RB,93,&nbsp;,&nbsp;,&nbsp;,325.0,1819
340,Steven Jackson,9582,steven-jackson,,,RB,94,&nbsp;,&nbsp;,&nbsp;,326.0,57
