rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
40,Derrick Henry,15514,derrick-henry,BAL,10,RB,19,42,&nbsp;,&nbsp;,&nbsp;,41,36,42.2,3198
41,Demaryius Thomas,9691,demaryius-thomas,,,WR,18,38,&nbsp;,&nbsp;,&nbsp;,45,38,43.2,560
42,Jay Ajayi,13940,jay-ajayi,,,RB,20,44,&nbsp;,&nbsp;,&nbsp;,40,46,43.8,2452
43,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,9,WR,19,51,&nbsp;,&nbsp;,&nbsp;,42,47,44.0,4040
44,Brandin Cooks,12122,brandin-cooks,,,WR,20,47,&nbsp;,&nbsp;,&nbsp;,44,39,45.4,2197
45,Golden Tate,9683,golden-tate,,,WR,21,45,&nbsp;,&nbsp;,&nbsp;,43,42,45.8,642
46,Lamar Miller,11185,lamar-miller,,,RB,21,57,&nbsp;,&nbsp;,&nbsp;,46,49,46.8,1048
47,Tom Brady,9603,tom-brady,,,QB,2,28,&nbsp;,&nbsp;,&nbsp;,57,59,47.8,167
48,Deshaun Watson,16398,deshaun-watson,CLE,11,QB,3,50,&nbsp;,&nbsp;,&nbsp;,47,54,47.8,4017
49,Allen Robinson II,12126,allen-robinson,,,WR,22,41,&nbsp;,&nbsp;,&nbsp;,51,44,48.0,1992
50,Josh Gordon,11440,josh-gordon,,,WR,23,49,&nbsp;,&nbsp;,&nbsp;,52,43,48.6,1244
51,Mark Ingram II,9872,mark-ingram,,,RB,22,60,&nbsp;,&nbsp;,&nbsp;,48,48,52.2,956
52,Russell Wilson,11180,russell-wilson,,,QB,4,53,&nbsp;,&nbsp;,&nbsp;,56,53,54.4,1234
53,Jimmy Graham,9712,jimmy-graham,,,TE,4,56,&nbsp;,&nbsp;,&nbsp;,50,61,54.4,616
54,Marvin Jones Jr.,11215,marvin-jones,,,WR,24,55,&nbsp;,&nbsp;,&nbsp;,53,51,54.8,1067
55,Chris Hogan,11477,chris-hogan,,,WR,25,54,&nbsp;,&nbsp;,&nbsp;,54,73,55.0,1329
56,Greg Olsen,9238,greg-olsen,,,TE,5,48,&nbsp;,&nbsp;,&nbsp;,58,62,56.4,58
57,Dion Lewis,9983,dion-lewis,,,RB,23,58,&nbsp;,&nbsp;,&nbsp;,49,52,56.4,788
58,Marshawn Lynch,9428,marshawn-lynch,,,RB,24,52,&nbsp;,&nbsp;,&nbsp;,68,76,61.4,745
59,Cam Newton,9869,cam-newton,,,QB,5,46,&nbsp;,&nbsp;,&nbsp;,65,75,63.4,954
60,Corey Davis,16385,corey-davis,,,WR,26,70,&nbsp;,&nbsp;,&nbsp;,60,65,63.6,4036
61,Carlos Hyde,12105,carlos-hyde,,,RB,25,75,&nbsp;,&nbsp;,&nbsp;,59,69,65.8,2257
62,Michael Crabtree,9460,michael-crabtree,,,WR,27,61,&nbsp;,&nbsp;,&nbsp;,71,58,66.4,455
63,Evan Engram,16411,evan-engram,DEN,10,TE,6,62,&nbsp;,&nbsp;,&nbsp;,75,60,66.4,4066
64,Marquise Goodwin,11599,marquise-goodwin,,,WR,28,67,&nbsp;,&nbsp;,&nbsp;,55,95,67.0,1346
65,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,29,63,&nbsp;,&nbsp;,&nbsp;,67,71,67.0,538
66,Rex Burkhead,11655,rex-burkhead,,,RB,26,66,&nbsp;,&nbsp;,&nbsp;,66,81,69.8,1387
67,Drew Brees,9200,drew-brees,,,QB,6,69,&nbsp;,&nbsp;,&nbsp;,76,79,71.4,289
68,Tevin Coleman,13926,tevin-coleman,,,RB,27,72,&nbsp;,&nbsp;,&nbsp;,69,64,71.8,2378
69,Julian Edelman,9332,julian-edelman,,,WR,30,91,&nbsp;,&nbsp;,&nbsp;,70,66,72.2,344
70,Alshon Jeffery,11199,alshon-jeffery,,,WR,31,88,&nbsp;,&nbsp;,&nbsp;,83,50,73.4,1149
71,Kyle Rudolph,9906,kyle-rudolph,,,TE,7,71,&nbsp;,&nbsp;,&nbsp;,81,78,77.2,943
72,Kerryon Johnson,17247,kerryon-johnson,,,RB,28,107,&nbsp;,&nbsp;,&nbsp;,72,86,77.8,5068
73,Jamaal Williams,16424,jamaal-williams,,,RB,29,98,&nbsp;,&nbsp;,&nbsp;,79,92,78.0,4149
74,William Fuller V,15629,will-fuller,,,WR,32,92,&nbsp;,&nbsp;,&nbsp;,63,80,79.8,3157
75,Sammy Watkins,12118,sammy-watkins,,,WR,33,74,&nbsp;,&nbsp;,&nbsp;,94,63,80.2,1817
76,Carson Wentz,15520,carson-wentz,MIN,10,QB,7,73,&nbsp;,&nbsp;,&nbsp;,88,77,81.2,3161
77,Robert Woods,11610,robert-woods,,,WR,34,64,&nbsp;,&nbsp;,&nbsp;,93,68,82.4,1352
78,Sony Michel,17309,sony-michel,,,RB,30,125,&nbsp;,&nbsp;,&nbsp;,77,57,82.8,4962
79,Devin Funchess,13915,devin-funchess,,,WR,35,77,&nbsp;,&nbsp;,&nbsp;,92,67,82.8,2346
80,Rashaad Penny,17308,rashaad-penny,,,RB,31,112,&nbsp;,&nbsp;,&nbsp;,90,40,83.6,4985
81,Jordan Reed,11690,jordan-reed,,,TE,8,79,&nbsp;,&nbsp;,&nbsp;,64,99,84.6,1500
82,Cooper Kupp,16433,cooper-kupp,SEA,7,WR,36,89,&nbsp;,&nbsp;,&nbsp;,91,85,85.0,4039
83,Trey Burton,12153,trey-burton,,,TE,9,111,&nbsp;,&nbsp;,&nbsp;,82,90,85.6,1793
