rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
145,Russell Gage Jr.,17606,russell-gage,,,WR,59,172,155,&nbsp;,188,136,136,148.8,5110
146,Trey Lance,20082,trey-lance,LAC,7,QB,18,166,146,&nbsp;,168,148,140,149.0,7610
147,James White,12195,james-white,,,RB,46,150,179,&nbsp;,197,135,145,151.8,1848
148,Indianapolis Colts,8130,,,14,DST,8,148,150,&nbsp;,91,161,151,151.8,
149,Hunter Henry,15561,hunter-henry,NE,14,TE,15,156,141,&nbsp;,172,124,143,153.2,3214
150,Alexander Mattison,18621,alexander-mattison,,,RB,47,164,170,&nbsp;,192,142,138,154.2,5987
151,Tyler Bass,19760,tyler-bass,BUF,7,K,4,162,133,&nbsp;,102,166,157,155.0,7042
152,Kirk Cousins,11177,kirk-cousins,LV,8,QB,19,176,163,&nbsp;,165,137,148,157.8,1166
153,Tua Tagovailoa,19198,tua-tagovailoa,ATL,6,QB,20,145,193,&nbsp;,152,163,146,158.6,6768
154,New England Patriots,8180,,,14,DST,9,154,156,&nbsp;,150,167,178,158.8,
155,Evan Engram,16411,evan-engram,DEN,11,TE,16,170,164,&nbsp;,159,151,135,159.8,4066
156,Denver Broncos,8090,,,11,DST,10,138,138,&nbsp;,173,175,204,163.2,
157,Jason Sanders,17533,jason-sanders,NYJ,6,K,5,141,140,&nbsp;,123,190,193,163.4,5119
158,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,21,159,181,&nbsp;,166,164,167,165.0,138
159,Zach Ertz,11689,zach-ertz,,,TE,17,169,161,&nbsp;,155,169,173,165.2,1339
160,Jared Cook,9265,jared-cook,,,TE,18,178,160,&nbsp;,157,158,174,165.4,367
161,Ryan Succop,9549,ryan-succop,,,K,6,179,139,&nbsp;,126,182,213,165.8,391
162,Tevin Coleman,13926,tevin-coleman,,,RB,48,197,185,&nbsp;,199,121,155,167.8,2378
163,Jameis Winston,13891,jameis-winston,NYG,10,QB,22,167,175,&nbsp;,181,170,198,168.2,2306
164,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,14,RB,49,181,177,&nbsp;,233,134,190,169.0,7611
165,Sterling Shepard,15569,sterling-shepard,,,WR,60,185,184,&nbsp;,189,152,152,172.4,3200
166,Austin Hooper,15581,austin-hooper,ATL,6,TE,19,139,166,&nbsp;,174,159,199,174.2,3202
167,Cleveland Browns,8070,,,13,DST,11,149,137,&nbsp;,163,203,230,174.4,
168,Giovani Bernard,11644,giovani-bernard,,,RB,50,189,192,&nbsp;,229,155,166,174.4,1386
169,Nelson Agholor,13969,nelson-agholor,,,WR,61,175,167,&nbsp;,205,174,160,176.2,2325
170,Chuba Hubbard,19792,chuba-hubbard,CAR,13,RB,51,210,154,&nbsp;,259,168,171,176.6,7594
171,Mac Jones,20156,mac-jones,SF,6,QB,23,168,176,&nbsp;,194,197,150,177.0,7527
172,,19796,,,,1,,198,165,&nbsp;,286,186,159,177.0,
173,Rodrigo Blankenship,19469,rodrigo-blankenship,,,K,7,187,145,&nbsp;,68,185,185,177.6,7062
174,Greg Zuerlein,11345,greg-zuerlein,,,K,8,163,153,&nbsp;,105,183,206,177.6,1266
175,Kenneth Gainwell,23310,kenneth-gainwell,TB,9,RB,52,&nbsp;,195,&nbsp;,178,165,187,177.8,7567
176,Gerald Everett,16459,gerald-everett,,,TE,20,204,190,&nbsp;,139,157,188,179.6,4089
177,Ryan Fitzpatrick,9545,ryan-fitzpatrick,,,QB,24,182,197,&nbsp;,190,184,161,182.8,333
178,Daniel Carlson,17420,daniel-carlson,LV,8,K,9,&nbsp;,202,&nbsp;,103,210,225,183.6,5095
179,Kansas City Chiefs,8150,,,12,DST,12,191,178,&nbsp;,141,187,235,186.4,
180,Derek Carr,12092,derek-carr,,,QB,25,184,213,&nbsp;,180,179,176,186.4,2028
181,Jalen Reagor,19219,jalen-reagor,MIA,14,WR,62,151,196,&nbsp;,246,162,162,187.4,6798
182,Cole Kmet,19229,cole-kmet,CHI,10,TE,21,174,186,&nbsp;,187,188,202,187.4,6826
183,Tyrell Williams,14324,tyrell-williams,,,WR,63,161,206,&nbsp;,&nbsp;,201,215,188.4,2583
184,New Orleans Saints,8190,,,6,DST,13,180,203,&nbsp;,129,207,227,189.2,
185,Rashaad Penny,17308,rashaad-penny,,,RB,53,&nbsp;,211,&nbsp;,248,180,158,190.6,4985
186,Terrace Marshall Jr.,23242,terrace-marshall,MIA,14,WR,64,194,183,&nbsp;,241,173,164,191.0,7565
187,Miami Dolphins,8160,,,14,DST,14,199,182,&nbsp;,98,204,192,191.6,
188,Zach Wilson,22679,zach-wilson,NO,6,QB,26,186,194,&nbsp;,207,192,183,192.4,7538
189,Jason Myers,14003,jason-myers,SEA,9,K,10,127,147,&nbsp;,147,218,270,193.4,2747
190,Latavius Murray,11821,latavius-murray,,,RB,54,227,169,&nbsp;,208,172,195,194.2,1476
191,Mason Crosby,9433,mason-crosby,,,K,11,195,157,&nbsp;,156,224,243,195.0,59
192,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,65,203,209,&nbsp;,201,189,172,195.4,538
193,A.J. Green,9857,aj-green,,,WR,66,177,187,&nbsp;,204,214,201,197.0,830
194,Ty'Son Williams,19636,tyson-williams,,,RB,55,193,225,&nbsp;,258,147,170,198.6,7098
195,Randall Cobb,9902,randall-cobb,,,WR,67,173,174,&nbsp;,213,233,205,199.6,928
196,Gabe Davis,19398,gabriel-davis,,,WR,68,224,208,&nbsp;,191,220,180,204.6,6943
197,Matt Prater,9443,matt-prater,,,K,12,190,168,&nbsp;,206,208,264,207.2,17
198,Daniel Jones,18232,daniel-jones,IND,14,QB,27,196,221,&nbsp;,236,202,181,207.2,5870
199,Green Bay Packers,8110,,,13,DST,15,192,229,&nbsp;,153,232,231,207.4,
200,Bryan Edwards,18634,bryan-edwards,,,WR,69,214,191,&nbsp;,262,191,179,207.4,6870
201,Matt Gay,18545,matt-gay,LV,8,K,13,142,&nbsp;,&nbsp;,250,205,280,209.0,6083
202,Deshaun Watson,16398,deshaun-watson,CLE,13,QB,28,200,171,&nbsp;,144,256,275,209.2,4017
203,Pat Freiermuth,20163,pat-freiermuth,PIT,7,TE,22,201,180,&nbsp;,225,230,216,210.4,7600
204,Sam Darnold,17236,sam-darnold,SEA,9,QB,29,218,216,&nbsp;,238,194,194,212.0,4943
205,Darrel Williams,17514,darrel-williams,,,RB,56,&nbsp;,239,&nbsp;,240,196,220,213.2,5549
206,Anthony Firkser,16787,anthony-firkser,WAS,9,TE,23,209,220,&nbsp;,264,195,189,215.4,4435
207,Brandon McManus,13274,brandon-mcmanus,,,K,14,143,&nbsp;,&nbsp;,177,238,224,195.5,1433
208,Eric Ebron,12143,eric-ebron,,,TE,24,171,212,&nbsp;,185,225,293,217.2,2118
209,Blake Jarwin,16638,blake-jarwin,,,TE,25,217,218,&nbsp;,202,236,222,219.0,4571
210,Amon-Ra St. Brown,19799,amonra-stbrown,DET,9,WR,70,&nbsp;,189,&nbsp;,203,211,191,198.5,7547
211,Mark Ingram II,9872,mark-ingram,,,RB,57,220,234,&nbsp;,214,193,247,221.6,956
212,Seattle Seahawks,8260,,,9,DST,16,207,233,&nbsp;,179,287,207,222.6,
213,Parris Campbell,18463,parris-campbell,,,WR,71,165,214,&nbsp;,293,234,212,223.6,5880
214,Tarik Cohen,16450,tarik-cohen,,,RB,58,&nbsp;,254,&nbsp;,186,209,177,206.5,4157
215,Tony Jones Jr.,19482,tony-jones-rb,,,RB,59,&nbsp;,&nbsp;,&nbsp;,300,150,208,207.0,6984
216,Chicago Bears,8050,,,10,DST,17,202,227,&nbsp;,183,231,289,226.4,
217,Adam Trautman,19423,adam-trautman,DEN,11,TE,26,&nbsp;,200,&nbsp;,220,242,168,207.5,6869
218,Robbie Gould,9534,robbie-gould,,,K,15,205,188,&nbsp;,210,235,301,227.8,49
219,Christian Kirk,17268,christian-kirk,SF,6,WR,72,&nbsp;,219,&nbsp;,255,181,182,209.3,4950
220,Jamison Crowder,13976,jamison-crowder,,,WR,73,230,222,&nbsp;,247,266,154,228.2,2410
221,Ty Johnson,18406,ty-johnson,BUF,7,RB,60,&nbsp;,232,&nbsp;,&nbsp;,216,234,210.5,6039
222,T.Y. Hilton,11206,ty-hilton,,,WR,74,&nbsp;,199,&nbsp;,162,285,196,210.5,1110
223,Damien Williams,12334,damien-williams,,,RB,61,&nbsp;,210,&nbsp;,276,176,184,211.5,1833
224,Tennessee Titans,8300,,,13,DST,18,225,241,&nbsp;,218,293,175,230.4,
225,Minnesota Vikings,8170,,,7,DST,19,183,201,&nbsp;,215,251,312,232.4,
226,Carson Wentz,15520,carson-wentz,MIN,7,QB,30,211,242,&nbsp;,224,177,305,231.8,3161
227,Rashod Bateman,19794,rashod-bateman,BAL,8,WR,75,&nbsp;,173,&nbsp;,266,253,165,214.3,7571
228,Tre'Quan Smith,17261,trequan-smith,,,WR,76,&nbsp;,215,&nbsp;,281,198,169,215.8,5026
229,Malcolm Brown,13953,malcolm-brown,,,RB,62,188,246,&nbsp;,&nbsp;,222,217,218.3,2588
230,Marlon Mack,16444,marlon-mack,,,RB,63,&nbsp;,217,&nbsp;,251,226,200,223.5,4152
231,Graham Gano,9232,graham-gano,,,K,16,137,&nbsp;,&nbsp;,217,240,324,229.5,503
232,Devontae Booker,15555,devontae-booker,,,RB,64,&nbsp;,198,&nbsp;,&nbsp;,199,203,200.0,3209
233,Arizona Cardinals,8000,,,12,DST,20,222,&nbsp;,&nbsp;,158,296,232,227.0,
234,Allen Lazard,17301,allen-lazard,,,WR,77,&nbsp;,244,&nbsp;,226,223,218,227.8,5185
235,Wil Lutz,16026,wil-lutz,DEN,11,K,17,&nbsp;,247,&nbsp;,138,&nbsp;,228,204.3,3678
236,Los Angeles Chargers,8250,,,7,DST,21,228,230,&nbsp;,223,237,310,245.6,
