rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
288,Andrei Iosivas,25335,andrei-iosivas,CIN,12,WR,90,&nbsp;,&nbsp;,240,240.0,10226
289,Darius Slayton,18706,darius-slayton,NYG,11,WR,91,&nbsp;,275,275,275.0,6149
290,Joe Flacco,9300,joe-flacco,CIN,12,QB,36,&nbsp;,&nbsp;,248,248.0,19
291,Jalin Hyatt,25251,jalin-hyatt,NYG,11,WR,92,&nbsp;,270,290,280.0,9497
292,Tennessee Titans,8300,,,5,DST,28,&nbsp;,255,&nbsp;,255.0,
293,Michael Penix Jr.,22973,michael-penix-jr,ATL,12,QB,37,&nbsp;,257,&nbsp;,257.0,11559
294,Eric Gray,23075,eric-gray,NYG,11,RB,81,&nbsp;,&nbsp;,258,258.0,10223
295,Michael Mayer,23056,michael-mayer,LV,10,TE,36,&nbsp;,278,289,283.5,9482
296,Joshua Karty,26478,joshua-karty,,,K,22,&nbsp;,&nbsp;,261,261.0,11789
297,Cam Little,26475,cam-little,JAC,12,K,23,&nbsp;,&nbsp;,262,262.0,11786
298,Brenden Rice,26213,brenden-rice,GB,10,WR,93,&nbsp;,267,&nbsp;,267.0,11621
299,Elijah Moore,20114,elijah-moore,PHI,5,WR,94,&nbsp;,268,&nbsp;,268.0,7596
300,Malik Washington,26314,malik-washington,MIA,6,WR,95,&nbsp;,285,291,288.0,11610
301,Devontez Walker,26011,devontez-walker,BAL,14,WR,96,&nbsp;,272,&nbsp;,272.0,11629
302,Zay Jones,16431,zay-jones,,,WR,97,&nbsp;,274,&nbsp;,274.0,4080
303,Tre Tucker,25337,tre-tucker,LV,10,WR,98,&nbsp;,289,292,290.5,10213
304,Daniel Bellinger,24238,daniel-bellinger,TEN,5,TE,37,&nbsp;,309,274,291.5,8225
305,Kendrick Bourne,17066,kendrick-bourne,ARI,11,WR,99,&nbsp;,277,305,291.0,4454
306,Treylon Burks,22905,treylon-burks,WAS,14,WR,100,&nbsp;,287,295,291.0,8135
307,Cordarrelle Patterson,11613,cordarrelle-patterson,,,RB,82,&nbsp;,&nbsp;,276,276.0,1535
308,Tucker Kraft,25298,tucker-kraft,GB,10,TE,38,&nbsp;,276,&nbsp;,276.0,9484
309,Davis Cheek,24609,davis-cheek,,,QB,38,&nbsp;,279,&nbsp;,279.0,8560
310,Albert Wilson,12338,albert-wilson,,,WR,101,&nbsp;,280,&nbsp;,280.0,2025
311,Peewee Jarrett,26800,peewee-jarrett,,,QB,39,&nbsp;,282,&nbsp;,282.0,12239
312,Deuce Vaughn,22984,deuce-vaughn,,,RB,83,&nbsp;,283,&nbsp;,283.0,9505
313,Larry Rose III,17984,larry-rose-iii,,,RB,84,&nbsp;,284,&nbsp;,284.0,5618
314,Jordan Whittington,23135,jordan-whittington,LAR,6,WR,102,&nbsp;,&nbsp;,284,284.0,11623
315,Jonathan Mingo,23030,jonathan-mingo,DAL,7,WR,103,&nbsp;,294,298,296.0,10225
316,J.J. Taylor,19438,jj-taylor,,,RB,85,&nbsp;,286,&nbsp;,286.0,6973
317,Calvin Austin III,23739,calvin-austin,NYG,11,WR,104,&nbsp;,&nbsp;,287,287.0,8125
318,Noah Brown,16443,noah-brown,,,WR,105,&nbsp;,&nbsp;,288,288.0,4234
319,Austin Aune,25927,austin-aune,,,QB,40,&nbsp;,288,&nbsp;,288.0,11491
320,Kevin White,13899,kevin-white,,,WR,106,&nbsp;,290,&nbsp;,290.0,2312
321,Rasheen Ali,25983,rasheen-ali,BAL,14,RB,86,&nbsp;,291,&nbsp;,291.0,11570
322,Van Jefferson,19483,van-jefferson,WAS,14,WR,107,&nbsp;,&nbsp;,293,293.0,6853
323,Isaiah Bowser,25871,isaiah-bowser,,,RB,87,&nbsp;,293,&nbsp;,293.0,11431
324,Zay Malone,25647,xavier-malone,,,WR,108,&nbsp;,295,&nbsp;,295.0,11189
325,Frank Gore Jr.,25980,frank-gore-jr,BUF,12,RB,88,&nbsp;,296,&nbsp;,296.0,11573
326,Los Angeles Chargers,8250,,,5,DST,29,&nbsp;,308,296,302.0,
327,Emanuel Wilson,25885,emanuel-wilson,SEA,10,RB,89,&nbsp;,&nbsp;,297,297.0,11435
328,Josh Reynolds,16439,josh-reynolds,,,WR,109,&nbsp;,298,&nbsp;,298.0,4171
329,K.J. Osborn,19708,kj-osborn,TEN,5,WR,110,&nbsp;,311,299,305.0,7066
330,Mark Ingram II,9872,mark-ingram,,,RB,90,&nbsp;,300,&nbsp;,300.0,956
331,Jeff Wilson Jr.,18026,jeffery-wilson,,,RB,91,&nbsp;,&nbsp;,300,300.0,5284
332,Alec Pierce,23791,alec-pierce,IND,14,WR,111,&nbsp;,&nbsp;,301,301.0,8142
333,Evan Hull,25325,evan-hull,HOU,14,RB,92,&nbsp;,302,&nbsp;,302.0,9220
334,Wendell Smallwood,15672,wendell-smallwood,,,RB,93,&nbsp;,305,&nbsp;,305.0,3309
335,Jalen Nailor,24177,jalen-nailor,LV,10,WR,112,&nbsp;,&nbsp;,306,306.0,8180
336,Nick Keizer,18054,nick-keizer,,,TE,39,&nbsp;,307,&nbsp;,307.0,5465
337,Mo Alie-Cox,16579,mo-alie-cox,IND,14,TE,40,&nbsp;,312,&nbsp;,312.0,4054
338,James White,12195,james-white,,,RB,94,&nbsp;,313,&nbsp;,313.0,1848
339,Los Angeles Rams,8280,,,6,DST,30,&nbsp;,315,&nbsp;,315.0,
340,Anthony Johnson,25539,anthony-johnson-db,,,CB,1,&nbsp;,316,&nbsp;,316.0,5929
341,A.T. Perry,24353,at-perry,PIT,9,WR,113,&nbsp;,318,&nbsp;,318.0,10863
342,Jason Witten,9275,jason-witten,,,TE,41,&nbsp;,319,&nbsp;,319.0,23
343,Vernon Davis,9621,vernon-davis,,,TE,42,&nbsp;,321,&nbsp;,321.0,200
