rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,real_time,avg,sleeper_id
324,Riley Patterson,23370,riley-patterson,MIA,6,K,23,285,,,285,7922
325,Charlie Smyth,26444,charlie-smyth,NO,8,K,24,286,,,286,11653
326,Ty Simpson,25368,ty-simpson,LAR,11,QB,38,287,,,287,13275
327,Nick Folk,9491,nick-folk,ATL,11,K,25,288,,243,288,650
328,New York Jets DST,8210,,,13,DST,28,293,291,,292,
329,Arizona Cardinals DST,8000,,,14,DST,29,291,,,291,
330,Las Vegas Raiders DST,8220,,,13,DST,30,292,297,,294.5,
331,Michael Mayer,23056,michael-mayer,LV,13,TE,41,,293,,293,9482
332,Zavion Thomas,28132,zavion-thomas,CHI,10,WR,106,,294,,294,13411
333,Miami Dolphins DST,8160,,,6,DST,31,295,,,295,
334,Spencer Shrader,26763,spencer-shrader,IND,13,K,26,,295,220,295,12185
335,Roschon Johnson,25322,roschon-johnson,CHI,10,RB,93,,296,,296,10235
336,Isaiah Davis,25977,isaiah-davis,NYJ,13,RB,94,,298,,298,11571
