year,name,position,team,sleeper_id,overall_rank,bb_avg_adp,bb_stack_rank,bb_eff_rank,half_stack_rank,std_stack_rank,scoring_rank_shift,hwang_eff_rank,hwang_adjusted_adp,hwang_pos_rank,adp_delta,adp_source,scoring_source
2026,Jacory Croskey-Merritt,RB,WAS,12533,104,101.4,39,38.0,38,39,1,39.0,101.4,39,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jared Goff,QB,DET,3163,105,102.8,11,11.98,,,,11.0,102.8,11,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Matthew Stafford,QB,LAR,421,106,103.0,12,11.14,,,,12.0,103.0,12,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Bo Nix,QB,DEN,11563,107,105.6,14,13.0,,,,14.0,105.6,13,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Patrick Mahomes II,QB,KC,4046,108,105.6,13,14.0,,,,13.0,105.6,14,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Brock Purdy,QB,SF,8183,109,106.2,15,14.4,,,,15.0,106.2,15,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Isaiah Likely,TE,NYG,8131,110,107.4,10,10.62,,,,10.0,107.4,10,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jaxson Dart,QB,NYG,12508,111,108.6,16,15.3,,,,16.0,108.6,16,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Dalton Kincaid,TE,BUF,10236,112,109.4,11,10.53,,,,11.0,109.4,11,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jalen Coker,WR,CAR,11646,113,129.2,53,53.43,58,53,-5,48.43,110.2,47,-19.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jordyn Tyson,WR,NO,13281,114,135.0,55,56.0,48,41,-7,49.0,110.2,48,-24.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Stefon Diggs,WR,WAS,2449,115,101.0,45,44.25,42,47,5,49.25,112.8,49,11.8,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Xavier Worthy,WR,KC,11624,116,123.4,51,51.25,53,51,-2,49.25,112.8,50,-10.6,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Khalil Shakir,WR,BUF,8134,117,138.4,57,56.47,59,52,-7,49.47,115.0,51,-23.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Travis Kelce,TE,KC,1466,118,115.0,12,12.37,,,,12.0,115.0,12,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Dallas Goedert,TE,PHI,5022,119,117.6,13,12.45,,,,13.0,117.6,13,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tyler Allgeier,RB,ARI,8132,120,133.8,46,45.74,46,41,-5,40.74,119.6,40,-14.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jonathon Brooks,RB,CAR,11583,121,77.2,28,28.37,31,44,13,41.37,122.1,41,44.9,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jordan Love,QB,GB,6804,122,122.2,17,17.86,,,,17.0,122.2,17,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Kyler Murray,QB,MIN,5849,123,123.2,18,17.56,,,,18.0,123.2,18,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,KC Concepcion,WR,CLE,13298,124,110.2,49,48.0,47,50,3,51.0,123.4,52,13.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Aaron Jones Sr.,RB,MIN,4199,125,128.4,44,44.03,42,40,-2,42.03,125.2,42,-3.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Makai Lemon,WR,PHI,13294,126,110.2,48,49.0,45,48,3,52.0,125.2,53,15.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Troy Franklin,WR,DEN,11627,127,239.3,88,87.99,105,69,-36,51.99,125.2,54,-114.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Woody Marks,RB,HOU,12474,128,131.2,45,45.04,45,42,-3,42.04,125.2,43,-6.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Rachaad White,RB,WAS,8136,129,120.2,41,40.65,43,45,2,42.65,125.3,44,5.1,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Tyjae Spears,RB,TEN,9508,130,144.6,49,48.35,55,49,-6,42.35,125.3,45,-19.3,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Baker Mayfield,QB,TB,4892,131,125.8,19,18.68,,,,19.0,125.8,19,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jake Ferguson,TE,DAL,8110,132,126.6,14,14.61,,,,14.0,126.6,14,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Dontayvion Wicks,WR,PHI,9486,133,156.4,61,60.5,63,55,-8,52.5,127.2,55,-29.2,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Juwan Johnson,TE,NO,7002,134,128.8,15,14.69,,,,15.0,128.8,15,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jauan Jennings,WR,MIN,7049,135,180.4,71,71.1,76,58,-18,53.1,129.4,56,-51.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
