year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_qb_stack,any_qb_rb_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),37,multi,multi,2,1,1,1981.8,18.45,54923,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),38,natural,none,0,0,1,2044.9,25.42,54177,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),38,none,none,0,0,1,2044.9,25.42,54177,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),38,single,single,1,1,1,2218.2,18.19,54363,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),38,multi,multi,2,1,1,2173,23.34,53672,MIN|NO,Kirk Cousins/Dalvin Cook (MIN); Jameis Winston/Alvin Kamara (NO),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),39,natural,single,1,1,1,2025.5,21.41,54497,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),39,none,none,0,0,1,2166.6,23.74,53797,,,Ezekiel Elliott,DAL
2021,2024_1,2024 #1 — Let James Cook (16-2),39,single,single,1,1,1,2025.5,21.41,54497,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),39,multi,multi,2,1,1,2106.3,19.64,54506,MIN|WAS,Kirk Cousins/Dalvin Cook (MIN); Taylor Heinicke/Antonio Gibson (WAS),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),40,natural,none,0,0,0,2048.3,28.63,53763,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),40,none,none,0,0,0,2048.3,28.63,53763,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),40,single,single,1,1,1,2238,25.34,53835,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
