value_basis,format,year,player_id,name,position,value,season_pts
ktc,hwang,2022,8126,Wan'Dale Robinson,WR,2790,28.6
ktc,hwang,2022,8131,Isaiah Likely,TE,2748,59
ktc,hwang,2022,5857,Noah Fant,TE,2697,93.6
ktc,hwang,2022,4033,David Njoku,TE,2696,100.8
ktc,hwang,2022,7607,Michael Carter,RB,2690,84.5
ktc,hwang,2022,5987,Alexander Mattison,RB,2681,55.4
ktc,hwang,2022,8159,Desmond Ridder,QB,2669,22.9
ktc,hwang,2022,6955,James Robinson,RB,2612,77.6
ktc,hwang,2022,1339,Zach Ertz,TE,2609,92.1
ktc,hwang,2022,1689,Adam Thielen,WR,2601,102.8
ktc,hwang,2022,8139,Zamir White,RB,2597,6.6
ktc,hwang,2022,8117,Jalen Tolbert,WR,2575,1.2
ktc,hwang,2022,7567,Kenneth Gainwell,RB,2574,60.7
ktc,hwang,2022,4993,Mike Gesicki,TE,2574,75.6
ktc,hwang,2022,7670,Josh Palmer,WR,2566,91.4
ktc,hwang,2022,1049,Ryan Tannehill,QB,2549,161.2
ktc,hwang,2022,3163,Jared Goff,QB,2531,273.9
ktc,hwang,2022,8132,Tyler Allgeier,RB,2531,129.9
ktc,hwang,2022,7608,Khalil Herbert,RB,2521,103.9
ktc,hwang,2022,6130,Devin Singletary,RB,2516,139
ktc,hwang,2022,7569,Nico Collins,WR,2511,60.1
ktc,hwang,2022,8205,Isiah Pacheco,RB,2474,109.6
ktc,hwang,2022,8153,Isaiah Spiller,RB,2429,5.4
ktc,hwang,2022,8118,David Bell,WR,2426,21.4
ktc,hwang,2022,6126,Irv Smith,TE,2422,39.8
ktc,hwang,2022,2374,Tyler Lockett,WR,2407,141.9
ktc,hwang,2022,5870,Daniel Jones,QB,2401,289
ktc,hwang,2022,3225,Tyler Boyd,WR,2370,111.4
ktc,hwang,2022,1352,Robert Woods,WR,2342,58.7
ktc,hwang,2022,6843,Albert Okwuegbunam,TE,2322,20.5
ktc,hwang,2022,5947,Jakobi Meyers,WR,2302,104.1
ktc,hwang,2022,5347,Nyheim Hines,RB,2225,39.4
ktc,hwang,2022,4951,D.J. Chark,WR,2221,66.8
ktc,hwang,2022,7066,K.J. Osborn,WR,2186,83.9
