value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total,removal_pairs
ktc,hwang,2021,2024_3,1339,86.9,86.3,1000,2102,1937
ktc,hwang,2021,2024_3,1479,104.4,103.8,1000,2102,1937
ktc,hwang,2021,2024_3,1535,132.6,132.1,1000,2102,1937
ktc,hwang,2021,2024_3,1689,98.2,97.8,1000,2102,1937
ktc,hwang,2021,2024_3,1837,104.3,103.6,1000,2102,1937
ktc,hwang,2021,2024_3,2078,53.5,53.1,1000,2102,1937
ktc,hwang,2021,2024_3,2161,2.9,2.9,1000,2102,1937
ktc,hwang,2021,2024_3,2197,99.8,99.4,1000,2102,1937
ktc,hwang,2021,2024_3,2309,92.2,91.9,1000,2102,1937
ktc,hwang,2021,2024_3,2319,35.2,35,1000,2102,1937
ktc,hwang,2021,2024_3,2325,35.2,35,1000,2102,1937
ktc,hwang,2021,2024_3,2711,102.5,101.5,1000,2102,1937
ktc,hwang,2021,2024_3,2749,0.3,0.3,1000,2102,1937
ktc,hwang,2021,2024_3,3164,159,158.4,1000,2102,1937
ktc,hwang,2021,2024_3,3198,154.9,154.5,1000,2102,1937
ktc,hwang,2021,2024_3,3294,207,205.7,1000,2102,1937
ktc,hwang,2021,2024_3,3634,38.4,38.1,1000,2102,1937
ktc,hwang,2021,2024_3,4039,232.3,231.7,1000,2102,1937
ktc,hwang,2021,2024_3,4068,112.1,111.8,1000,2102,1937
ktc,hwang,2021,2024_3,4080,29.1,28.8,1000,2102,1937
ktc,hwang,2021,2024_3,4082,0.2,0.2,1000,2102,1937
ktc,hwang,2021,2024_3,4098,61.2,60.9,1000,2102,1937
ktc,hwang,2021,2024_3,4111,51.6,51.3,1000,2102,1937
ktc,hwang,2021,2024_3,4137,160.7,159.9,1000,2102,1937
ktc,hwang,2021,2024_3,4147,28.8,28.7,1000,2102,1937
ktc,hwang,2021,2024_3,4149,57.6,57,1000,2102,1937
ktc,hwang,2021,2024_3,4179,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,4197,20.1,20,1000,2102,1937
ktc,hwang,2021,2024_3,4198,34.6,34.4,1000,2102,1937
ktc,hwang,2021,2024_3,4199,139.5,138.9,1000,2102,1937
ktc,hwang,2021,2024_3,4234,5,4.9,1000,2102,1937
ktc,hwang,2021,2024_3,4381,78.4,78.1,1000,2102,1937
ktc,hwang,2021,2024_3,4464,1.1,1,1000,2102,1937
ktc,hwang,2021,2024_3,4663,213.1,212.3,1000,2102,1937
ktc,hwang,2021,2024_3,4881,189.4,188.3,1000,2102,1937
ktc,hwang,2021,2024_3,4950,82.7,82.2,1000,2102,1937
ktc,hwang,2021,2024_3,4972,8.5,8.4,1000,2102,1937
ktc,hwang,2021,2024_3,4988,153,152.3,1000,2102,1937
ktc,hwang,2021,2024_3,4995,5.5,5.3,1000,2102,1937
ktc,hwang,2021,2024_3,5001,102.6,102.1,1000,2102,1937
ktc,hwang,2021,2024_3,5008,17.9,17.7,1000,2102,1937
ktc,hwang,2021,2024_3,5022,94,93.4,1000,2102,1937
ktc,hwang,2021,2024_3,5026,24.4,24.2,1000,2102,1937
ktc,hwang,2021,2024_3,5089,28.3,27.9,1000,2102,1937
ktc,hwang,2021,2024_3,5133,59.5,59,1000,2102,1937
ktc,hwang,2021,2024_3,5137,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,5248,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,5284,30.1,30,1000,2102,1937
ktc,hwang,2021,2024_3,5347,41.5,41,1000,2102,1937
ktc,hwang,2021,2024_3,5374,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,5409,0,0,1000,2102,1937
ktc,hwang,2021,2024_3,5848,94.5,94.2,1000,2102,1937
ktc,hwang,2021,2024_3,5854,4.5,4.4,1000,2102,1937
ktc,hwang,2021,2024_3,5857,79.9,79.4,1000,2102,1937
ktc,hwang,2021,2024_3,5906,91.4,90.9,1000,2102,1937
ktc,hwang,2021,2024_3,5937,121,120.5,1000,2102,1937
ktc,hwang,2021,2024_3,5938,17,16.8,1000,2102,1937
ktc,hwang,2021,2024_3,5947,56.1,55.6,1000,2102,1937
ktc,hwang,2021,2024_3,5967,78.8,78.2,1000,2102,1937
ktc,hwang,2021,2024_3,5973,3.8,3.8,1000,2102,1937
ktc,hwang,2021,2024_3,5980,80.2,79.9,1000,2102,1937
