value_basis,format,year,archetype_id,archetype_label,build_count,removal_pairs
comp,regular,2021,2024_5,2024 #5 — The Boomers (11-7),1000,1382
comp,regular,2021,2024_6,2024 #6 — seanjcrow (9-9),1000,2607
comp,regular,2021,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,6691
comp,regular,2021,2025_2,2025 #2 — seanjcrow (14-4),1000,5395
comp,regular,2021,2025_3,2025 #3 — Drake & Bake (13-5),1000,3969
comp,regular,2021,2025_4,2025 #4 — The Ladds (12-6),1000,4373
comp,regular,2021,2025_5,2025 #5 — House of Hwang (11-7),1000,4205
comp,regular,2021,2025_6,2025 #6 — aidsonballs (11-7),1000,3188
comp,regular,2021,2026_1,2026 #1 — The Ladds,1000,7225
comp,regular,2021,2026_2,2026 #2 — seanjcrow,1000,6269
comp,regular,2021,2026_3,2026 #3 — Eat It While She Sleeper,1000,6021
comp,regular,2021,2026_4,2026 #4 — Drake & Bake,1000,6403
comp,regular,2021,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,8994
comp,regular,2021,2026_6,2026 #6 — House of Hwang,1000,4253
comp,regular,2021,2026_7,2026 #7 — MrZaccheaus,1000,4462
comp,regular,2022,2024_1,2024 #1 — Let James Cook (16-2),1000,6772
comp,regular,2022,2024_2,2024 #2 — Age is just a number (15-3),1000,5998
comp,regular,2022,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,3499
comp,regular,2022,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,4677
comp,regular,2022,2024_5,2024 #5 — The Boomers (11-7),1000,5123
comp,regular,2022,2024_6,2024 #6 — seanjcrow (9-9),1000,5651
comp,regular,2022,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,5202
comp,regular,2022,2025_2,2025 #2 — seanjcrow (14-4),1000,9354
comp,regular,2022,2025_3,2025 #3 — Drake & Bake (13-5),1000,5790
comp,regular,2022,2025_4,2025 #4 — The Ladds (12-6),1000,8073
comp,regular,2022,2025_5,2025 #5 — House of Hwang (11-7),1000,7810
comp,regular,2022,2025_6,2025 #6 — aidsonballs (11-7),1000,6347
comp,regular,2022,2026_1,2026 #1 — The Ladds,1000,10164
comp,regular,2022,2026_2,2026 #2 — seanjcrow,1000,6710
comp,regular,2022,2026_3,2026 #3 — Eat It While She Sleeper,1000,9215
comp,regular,2022,2026_4,2026 #4 — Drake & Bake,1000,7114
comp,regular,2022,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,6919
comp,regular,2022,2026_6,2026 #6 — House of Hwang,1000,10216
comp,regular,2022,2026_7,2026 #7 — MrZaccheaus,1000,7391
comp,regular,2023,2024_1,2024 #1 — Let James Cook (16-2),1000,6739
comp,regular,2023,2024_2,2024 #2 — Age is just a number (15-3),1000,5792
comp,regular,2023,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,3290
comp,regular,2023,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,5512
comp,regular,2023,2024_5,2024 #5 — The Boomers (11-7),1000,3914
comp,regular,2023,2024_6,2024 #6 — seanjcrow (9-9),1000,5343
