year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_rb2_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb2_name,roster_rb2_adp
2021,2024_1,2024 #1 — Let James Cook (16-2),25,none,none,0,0,2248.9,23.8,58708,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),25,single,single,1,0,2201.5,20.44,57815,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),25,multi,multi,2,0,2260.8,20.93,58834,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),26,natural,none,0,0,2217.4,24.69,55371,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),26,none,none,0,0,2217.4,24.69,55371,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),26,single,single,1,0,2193.3,24.61,53342,IND,Jonathan Taylor/Nyheim Hines (IND),Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),26,multi,multi,2,0,2263.4,22.81,54361,CAR|IND,Christian McCaffrey/Chuba Hubbard (CAR); Jonathan Taylor/Nyheim Hines (IND),Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),27,natural,single,1,0,2290.6,24.37,55080,IND,Jonathan Taylor/Nyheim Hines (IND),Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),27,none,none,0,0,2261.4,24.67,55282,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),27,single,single,1,0,2324.5,24.63,55756,MIN,Dalvin Cook/Alexander Mattison (MIN),Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),27,multi,multi,2,0,2261.7,19.57,54863,MIN|GB,Dalvin Cook/Alexander Mattison (MIN); Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),28,natural,none,0,0,2021.6,32.45,54812,,,Dalvin Cook,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),28,none,none,0,0,2021.6,32.45,54812,,,Dalvin Cook,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),28,single,single,1,0,2065.7,29.86,54619,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),28,multi,multi,2,0,2068.3,31.4,57727,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),29,natural,none,0,0,2159.6,21.32,55557,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),29,none,none,0,0,2159.6,21.32,55557,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),29,single,single,1,0,2146.8,19.24,54971,GB,Aaron Jones/AJ Dillon (GB),Alvin Kamara,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),29,multi,multi,2,0,2151.6,20.11,58170,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),30,natural,none,0,0,2143.3,18.37,56387,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),30,none,none,0,0,2143.3,18.37,56387,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),30,single,single,1,0,2087.6,22.3,55494,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),30,multi,multi,2,0,2131.5,22.19,56536,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),31,natural,none,0,0,2176.5,24.53,56681,,,Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),31,none,none,0,0,2176.5,24.53,56681,,,Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),31,single,single,1,0,2221.8,24.36,57695,CAR,Christian McCaffrey/Chuba Hubbard (CAR),Christian McCaffrey,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),31,multi,multi,2,0,2207.1,22.05,58220,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),32,natural,none,0,0,1816.1,21.8,55275,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),32,none,none,0,0,1816.1,21.8,55275,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),32,single,single,1,0,1866.1,18.69,54659,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),32,multi,multi,2,0,1938.6,19.55,55678,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),33,natural,none,0,0,1838.8,30.5,55003,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),33,none,none,0,0,1838.8,30.5,55003,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),33,single,single,1,0,1881.2,26.91,54387,GB,Aaron Jones/AJ Dillon (GB),Alvin Kamara,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),33,multi,multi,2,0,1870.4,25.73,57494,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),34,natural,none,0,0,1971,20.95,55427,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),34,none,none,0,0,1971,20.95,55427,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),34,single,single,1,0,2045.2,20.6,54344,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),34,multi,multi,2,0,2041.8,21.24,57429,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),35,natural,none,0,0,2198.1,26.5,53097,,,Dalvin Cook,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),35,none,none,0,0,2198.1,26.5,53097,,,Dalvin Cook,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),35,single,single,1,0,2190.8,30.15,56029,CAR,Christian McCaffrey/Chuba Hubbard (CAR),Christian McCaffrey,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),35,multi,multi,2,0,2243.9,26.25,54300,CAR|IND,Christian McCaffrey/Chuba Hubbard (CAR); Jonathan Taylor/Nyheim Hines (IND),Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),36,natural,none,0,0,2196.6,29.31,54086,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),36,none,none,0,0,2196.6,29.31,54086,,,Alvin Kamara,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),36,single,single,1,0,2129.8,24.95,53921,GB,Aaron Jones/AJ Dillon (GB),Alvin Kamara,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),36,multi,multi,2,0,2130.8,25.83,57143,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),37,natural,none,0,0,2027.5,31.02,53670,,,Alvin Kamara,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),37,none,none,0,0,2027.5,31.02,53670,,,Alvin Kamara,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),37,single,single,1,0,2107.6,33.97,52915,CLE,Nick Chubb/Kareem Hunt (CLE),Nick Chubb,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),38,natural,single,1,0,2042.8,19.57,53835,IND,Jonathan Taylor/Nyheim Hines (IND),Alvin Kamara,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),38,none,none,0,0,2084.6,19.36,55159,,,Alvin Kamara,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),38,single,single,1,0,2089.2,23.06,54763,DAL,Ezekiel Elliott/Tony Pollard (DAL),Ezekiel Elliott,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),38,multi,multi,2,0,2103.8,23.56,54835,DAL|IND,Ezekiel Elliott/Tony Pollard (DAL); Jonathan Taylor/Nyheim Hines (IND),Ezekiel Elliott,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),39,natural,none,0,0,2206.8,31,55521,,,Christian McCaffrey,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),39,none,none,0,0,2206.8,31,55521,,,Christian McCaffrey,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),39,single,single,1,0,2202.7,26.9,55395,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),39,multi,multi,2,0,2262.7,26.61,56414,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),40,natural,none,0,0,2024.2,20.35,53593,,,Dalvin Cook,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),40,none,none,0,0,2024.2,20.35,53593,,,Dalvin Cook,Najee Harris,10
