year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),20,multi,multi,2,0,1,2026.2,22.64,56218,JAX|HOU,Trevor Lawrence/Laviska Shenault (JAX); Tyrod Taylor/Brandin Cooks (HOU),DeVonta Smith,PHI
2021,2024_1,2024 #1 — Let James Cook (16-2),21,natural,none,0,0,1,2119.7,26.93,55388,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),21,none,none,0,0,1,2119.7,26.93,55388,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),21,single,single,1,0,1,1986.3,23.96,55472,CHI,Justin Fields/Darnell Mooney (CHI),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),21,multi,multi,2,1,1,2030.2,22.87,55624,CHI|DEN,Justin Fields/Darnell Mooney (CHI); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),22,natural,none,0,0,0,1711.1,26.36,55739,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),22,none,none,0,0,0,1711.1,26.36,55739,,,Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),22,single,single,1,0,1,1611.5,27.98,55983,JAX,Trevor Lawrence/Laviska Shenault (JAX),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),22,multi,multi,2,0,1,1774.8,20.44,55616,JAX|MIA,Trevor Lawrence/Laviska Shenault (JAX); Tua Tagovailoa/Jaylen Waddle (MIA),Tyler Boyd,CIN
2021,2024_1,2024 #1 — Let James Cook (16-2),23,natural,none,0,1,1,2101.5,24.04,52864,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),23,none,none,0,1,1,2101.5,24.04,52864,,,Jerry Jeudy,DEN
