year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),22,triple,triple,3,1,2263,25.77,55254,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),23,natural,none,0,0,2178,26.77,55119,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),23,none,none,0,0,2178,26.77,55119,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),23,double,double,2,1,2118.8,25.39,55315,MIA,TE/WR,Mike Gesicki/DeVante Parker,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),23,triple,triple,3,1,2205.8,23.31,55133,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),24,natural,none,0,0,2098.4,19.72,55318,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),24,none,none,0,0,2098.4,19.72,55318,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),24,double,double,2,1,2163.5,20.84,55523,MIA,TE/WR,Mike Gesicki/Jaylen Waddle,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),24,triple,triple,3,1,2130.6,22.4,55348,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),25,natural,double,2,1,2367.3,27.63,55415,MIA,TE/WR,Mike Gesicki/DeVante Parker,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),25,none,none,0,0,2419.3,29.66,55219,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),25,double,double,2,1,2367.3,27.63,55415,MIA,TE/WR,Mike Gesicki/DeVante Parker,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),25,triple,triple,3,1,2357.5,28.33,55231,MIA,TE/WR/WR,Mike Gesicki/Jaylen Waddle/DeVante Parker,MIA:TE/WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),26,natural,double,2,1,2293.4,25.61,54257,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),26,none,none,0,0,2379.5,24.83,56321,,,,
