name,position,ktc_player_id,ktc_slug,sleeper_id,team,rank_basis,history_days,history_start,history_end
Fernando Mendoza,QB,1924,fernando-mendoza-1924,,LVR,sf,123,2026-02-18,2026-06-21
Frank Gore Jr.,RB,1570,frank-gore-jr-1570,11573,BUF,sf,854,2024-02-16,2026-06-21
Gabriel Davis,WR,533,gabriel-davis-533,6943,BUF,sf,2267,2020-04-07,2026-06-21
Gardner Minshew,QB,47,gardner-minshew-47,6011,ARI,sf,2218,2020-05-26,2026-06-21
Garrett Nussmeier,QB,1927,garrett-nussmeier-1927,,KCC,sf,123,2026-02-18,2026-06-21
Garrett Wilson,WR,1270,garrett-wilson-1270,8146,NYJ,sf,1573,2022-02-27,2026-06-21
Geno Smith,QB,671,geno-smith-671,1373,NYJ,sf,2212,2020-05-26,2026-06-21
George Holani,RB,1579,george-holani-1579,,SEA,sf,631,2024-02-16,2026-06-21
George Kittle,TE,298,george-kittle-298,4217,SFO,sf_tep,2273,2020-04-01,2026-06-21
George Pickens,WR,1279,george-pickens-1279,8137,DAL,sf,1573,2022-02-27,2026-06-21
Germie Bernard,WR,1965,germie-bernard-1965,,PIT,sf,123,2026-02-18,2026-06-21
Grant Calcaterra,TE,1263,grant-calcaterra-1263,,PHI,sf_tep,1573,2022-02-27,2026-06-21
Greg Dortch,WR,10,greg-dortch-10,5970,DET,sf,2273,2020-04-01,2026-06-21
Greg Dulcich,TE,1256,greg-dulcich-1256,8172,MIA,sf_tep,1573,2022-02-27,2026-06-21
Gunnar Helm,TE,1805,gunnar-helm-1805,,TEN,sf_tep,491,2025-02-13,2026-06-21
Harold Fannin,TE,1803,harold-fannin-1803,,CLE,sf_tep,491,2025-02-13,2026-06-21
Harrison Bryant,TE,752,harrison-bryant-752,6850,SEA,sf_tep,2267,2020-04-07,2026-06-21
Hassan Haskins,RB,1191,hassan-haskins-1191,8123,LAC,sf,1573,2022-02-27,2026-06-21
Hunter Henry,TE,212,hunter-henry-212,3214,NEP,sf_tep,2273,2020-04-01,2026-06-21
Isaac Guerendo,RB,1626,isaac-guerendo-1626,,SFO,sf,783,2024-04-27,2026-06-21
Isaac TeSlaa,WR,1813,isaac-teslaa-1813,,DET,sf,417,2025-04-28,2026-06-21
Isaiah Bond,WR,1776,isaiah-bond-1776,,CLE,sf,491,2025-02-13,2026-06-21
Isaiah Davis,RB,1635,isaiah-davis-1635,,NYJ,sf,779,2024-05-01,2026-06-21
Isaiah Hodgins,WR,561,isaiah-hodgins-561,6920,NYG,sf,2267,2020-04-07,2026-06-21
Isaiah Likely,TE,1257,isaiah-likely-1257,8131,NYG,sf_tep,1573,2022-02-27,2026-06-21
Isiah Pacheco,RB,1266,isiah-pacheco-1266,8205,DET,sf,1573,2022-02-27,2026-06-21
Israel Abanikanda,RB,1383,israel-abanikanda-1383,9227,DAL,sf,1197,2023-03-10,2026-06-21
J'Mari Taylor,RB,1949,j-mari-taylor-1949,,JAC,sf,123,2026-02-18,2026-06-21
Ja'Kobi Lane,WR,1979,ja-kobi-lane-1979,,BAL,sf,123,2026-02-18,2026-06-21
Ja'Lynn Polk,WR,1602,ja-lynn-polk-1602,11619,NOS,sf,854,2024-02-16,2026-06-21
Ja'Marr Chase,WR,1004,ja-marr-chase-1004,7564,CIN,sf,1922,2021-03-18,2026-06-21
Ja'Tavion Sanders,TE,1614,ja-tavion-sanders-1614,11600,CAR,sf_tep,854,2024-02-16,2026-06-21
Jack Bech,WR,1778,jack-bech-1778,,LVR,sf,491,2025-02-13,2026-06-21
Jack Endries,TE,2007,jack-endries-2007,,CIN,sf_tep,123,2026-02-18,2026-06-21
Jacob Cowing,WR,1611,jacob-cowing-1611,,SFO,sf,854,2024-02-16,2026-06-21
Jacoby Brissett,QB,20,jacoby-brissett-20,3257,ARI,sf,2218,2020-05-26,2026-06-21
Jacory Croskey-Merritt,RB,1832,jacory-croskey-merritt-1832,,WAS,sf,409,2025-05-06,2026-06-21
Jadarian Price,RB,1935,jadarian-price-1935,,SEA,sf,123,2026-02-18,2026-06-21
Jahan Dotson,WR,1272,jahan-dotson-1272,8119,ATL,sf,1573,2022-02-27,2026-06-21
Jahmyr Gibbs,RB,1415,jahmyr-gibbs-1415,9221,DET,sf,1197,2023-03-10,2026-06-21
Jake Bobo,WR,1488,jake-bobo-1488,10867,SEA,sf,1128,2023-05-18,2026-06-21
Jake Ferguson,TE,1258,jake-ferguson-1258,8110,DAL,sf_tep,1573,2022-02-27,2026-06-21
Jake Tonges,TE,1356,jake-tonges-1356,,SFO,sf_tep,1172,2022-09-17,2026-06-21
Jakobi Meyers,WR,13,jakobi-meyers-13,5947,JAC,sf,2273,2020-04-01,2026-06-21
Jaleel McLaughlin,RB,1486,jaleel-mclaughlin-1486,11439,DEN,sf,1129,2023-05-17,2026-06-21
Jalen Coker,WR,1653,jalen-coker-1653,,CAR,sf,770,2024-05-10,2026-06-21
Jalen Hurts,QB,595,jalen-hurts-595,6904,PHI,sf,2218,2020-05-26,2026-06-21
