season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,WR,QB_vs_WR,Derek Carr,Michael Pittman,2028,6819,3113,3124,-11,241.6,136.2,105.4
2021,QB,WR,QB_vs_WR,Derek Carr,Marquise Brown,2028,5848,3113,3038,75,241.6,132.6,109
2021,QB,WR,QB_vs_WR,Derek Carr,Jaylen Waddle,2028,7526,3113,2943,170,241.6,133.1,108.5
2021,QB,WR,QB_vs_WR,Jameis Winston,D.J. Chark,2306,4951,2966,3133,-167,117.4,27.4,90
2021,QB,WR,QB_vs_WR,Jameis Winston,Michael Pittman,2306,6819,2966,3124,-158,117.4,136.2,-18.8
2021,QB,WR,QB_vs_WR,Jameis Winston,Marquise Brown,2306,5848,2966,3038,-72,117.4,132.6,-15.2
2021,QB,WR,QB_vs_WR,Jameis Winston,Jaylen Waddle,2306,7526,2966,2943,23,117.4,133.1,-15.7
2021,QB,WR,QB_vs_WR,Jameis Winston,Michael Gallup,2306,5038,2966,2852,114,117.4,56.5,60.9
2021,QB,WR,QB_vs_WR,Jameis Winston,Mike Williams,2306,4068,2966,2810,156,117.4,152.7,-35.3
2021,QB,WR,QB_vs_WR,Zach Wilson,Jaylen Waddle,7538,7526,2784,2943,-159,142,133.1,8.9
2021,QB,WR,QB_vs_WR,Zach Wilson,Michael Gallup,7538,5038,2784,2852,-68,142,56.5,85.5
2021,QB,WR,QB_vs_WR,Zach Wilson,Mike Williams,7538,4068,2784,2810,-26,142,152.7,-10.7
2021,QB,WR,QB_vs_WR,Zach Wilson,Marquez Callaway,7538,6989,2784,2679,105,142,105.8,36.2
2021,QB,WR,QB_vs_WR,Zach Wilson,Curtis Samuel,7538,4082,2784,2667,117,142,3.8,138.2
2021,QB,WR,QB_vs_WR,Zach Wilson,DeVante Parker,7538,2319,2784,2640,144,142,62.3,79.7
2021,QB,WR,QB_vs_WR,Sam Darnold,Michael Gallup,4943,5038,2715,2852,-137,142.6,56.5,86.1
2021,QB,WR,QB_vs_WR,Sam Darnold,Mike Williams,4943,4068,2715,2810,-95,142.6,152.7,-10.1
2021,QB,WR,QB_vs_WR,Sam Darnold,Marquez Callaway,4943,6989,2715,2679,36,142.6,105.8,36.8
2021,QB,WR,QB_vs_WR,Sam Darnold,Curtis Samuel,4943,4082,2715,2667,48,142.6,3.8,138.8
2021,QB,WR,QB_vs_WR,Sam Darnold,DeVante Parker,4943,2319,2715,2640,75,142.6,62.3,80.3
2021,QB,WR,QB_vs_WR,Daniel Jones,Darnell Mooney,5870,7090,2265,2446,-181,166.5,126.1,40.4
2021,QB,WR,QB_vs_WR,Daniel Jones,Mecole Hardman,5870,5917,2265,2437,-172,166.5,70.6,95.9
2021,QB,WR,QB_vs_WR,Daniel Jones,Elijah Moore,5870,7596,2265,2211,54,166.5,95.2,71.3
2021,QB,WR,QB_vs_WR,Daniel Jones,Nelson Agholor,5870,2325,2265,2162,103,166.5,64.1,102.4
2021,QB,WR,QB_vs_WR,Mac Jones,Jakobi Meyers,7527,5947,1766,1770,-4,214.1,98.3,115.8
2021,QB,WR,QB_vs_WR,Mac Jones,Terrace Marshall,7527,7565,1766,1709,57,214.1,15.8,198.3
2021,QB,WR,QB_vs_WR,Mac Jones,Amon-Ra St. Brown,7527,7547,1766,1663,103,214.1,119.2,94.9
2021,QB,WR,QB_vs_WR,Jared Goff,Jakobi Meyers,3163,5947,1610,1770,-160,177,98.3,78.7
2021,QB,WR,QB_vs_WR,Jared Goff,Terrace Marshall,3163,7565,1610,1709,-99,177,15.8,161.2
2021,QB,WR,QB_vs_WR,Jared Goff,Amon-Ra St. Brown,3163,7547,1610,1663,-53,177,119.2,57.8
2021,QB,WR,QB_vs_WR,Jared Goff,Christian Kirk,3163,4950,1610,1541,69,177,126.3,50.7
2021,QB,WR,QB_vs_WR,Jared Goff,Marquez Valdes-Scantling,3163,5086,1610,1518,92,177,61,116
2021,QB,WR,QB_vs_WR,Jimmy Garoppolo,Allen Lazard,1837,5185,1309,1277,32,214.8,83,131.8
2021,QB,WR,QB_vs_WR,Jimmy Garoppolo,Rashod Bateman,1837,7571,1309,1264,45,214.8,55.3,159.5
2021,QB,WR,QB_vs_WR,Jimmy Garoppolo,Tre'Quan Smith,1837,5026,1309,1170,139,214.8,42.1,172.7
2021,QB,WR,QB_vs_WR,Jimmy Garoppolo,Parris Campbell,1837,5880,1309,1123,186,214.8,22.2,192.6
2021,QB,WR,QB_vs_WR,Drew Lock,Allen Lazard,5854,5185,1108,1277,-169,28.9,83,-54.1
2021,QB,WR,QB_vs_WR,Drew Lock,Rashod Bateman,5854,7571,1108,1264,-156,28.9,55.3,-26.4
2021,QB,WR,QB_vs_WR,Drew Lock,Tre'Quan Smith,5854,5026,1108,1170,-62,28.9,42.1,-13.2
2021,QB,WR,QB_vs_WR,Drew Lock,Parris Campbell,5854,5880,1108,1123,-15,28.9,22.2,6.7
2021,QB,WR,QB_vs_WR,Drew Lock,Donovan Peoples-Jones,5854,6824,1108,1072,36,28.9,71.9,-43
2021,QB,WR,QB_vs_WR,Drew Lock,Nico Collins,5854,7569,1108,1068,40,28.9,43.9,-15
2021,QB,WR,QB_vs_WR,Tyrod Taylor,Allen Lazard,827,5185,1104,1277,-173,81.7,83,-1.3
2021,QB,WR,QB_vs_WR,Tyrod Taylor,Rashod Bateman,827,7571,1104,1264,-160,81.7,55.3,26.4
2021,QB,WR,QB_vs_WR,Tyrod Taylor,Tre'Quan Smith,827,5026,1104,1170,-66,81.7,42.1,39.6
2021,QB,WR,QB_vs_WR,Tyrod Taylor,Parris Campbell,827,5880,1104,1123,-19,81.7,22.2,59.5
2021,QB,WR,QB_vs_WR,Tyrod Taylor,Donovan Peoples-Jones,827,6824,1104,1072,32,81.7,71.9,9.8
2021,QB,WR,QB_vs_WR,Tyrod Taylor,Nico Collins,827,7569,1104,1068,36,81.7,43.9,37.8
2021,QB,WR,QB_vs_WR,Gardner Minshew,Tre'Quan Smith,6011,5026,1043,1170,-127,19.2,42.1,-22.9
