season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,RB,QB_vs_RB,Nick Mullens,Craig Reynolds,4464,6659,0,0,0,9.9,28,-18.1
2021,QB,RB,QB_vs_RB,Nick Mullens,D'Ernest Johnson,4464,6694,0,0,0,9.9,65.8,-55.9
2021,QB,RB,QB_vs_RB,Nick Mullens,D'Onta Foreman,4464,4111,0,0,0,9.9,76.5,-66.6
2021,QB,RB,QB_vs_RB,Nick Mullens,Deon Jackson,4464,7551,0,0,0,9.9,9.1,0.8
2021,QB,RB,QB_vs_RB,Nick Mullens,Gary Brightwell,4464,7529,0,0,0,9.9,1,8.9
2021,QB,RB,QB_vs_RB,Tyler Huntley,Cordarrelle Patterson,7083,1535,0,175,-175,75.8,181.4,-105.6
2021,QB,RB,QB_vs_RB,Tyler Huntley,Craig Reynolds,7083,6659,0,0,0,75.8,28,47.8
2021,QB,RB,QB_vs_RB,Tyler Huntley,D'Ernest Johnson,7083,6694,0,0,0,75.8,65.8,10
2021,QB,RB,QB_vs_RB,Tyler Huntley,D'Onta Foreman,7083,4111,0,0,0,75.8,76.5,-0.7
2021,QB,RB,QB_vs_RB,Tyler Huntley,Deon Jackson,7083,7551,0,0,0,75.8,9.1,66.7
2021,QB,RB,QB_vs_RB,Tyler Huntley,Gary Brightwell,7083,7529,0,0,0,75.8,1,74.8
2021,QB,WR,QB_vs_WR,Lamar Jackson,Justin Jefferson,4881,6794,7994,7886,108,240,205.3,34.7
2021,QB,WR,QB_vs_WR,Justin Herbert,Justin Jefferson,6797,6794,7966,7886,80,353.3,205.3,148
2021,QB,WR,QB_vs_WR,Dak Prescott,Tyreek Hill,3294,3321,7435,7330,105,288.8,185.3,103.5
2021,QB,WR,QB_vs_WR,Dak Prescott,DK Metcalf,3294,5846,7435,7239,196,288.8,163.5,125.3
2021,QB,WR,QB_vs_WR,Trevor Lawrence,Tyreek Hill,7523,3321,7137,7330,-193,180.4,185.3,-4.9
2021,QB,WR,QB_vs_WR,Trevor Lawrence,DK Metcalf,7523,5846,7137,7239,-102,180.4,163.5,16.9
2021,QB,WR,QB_vs_WR,Trevor Lawrence,A.J. Brown,7523,5859,7137,6946,191,180.4,105.1,75.3
2021,QB,WR,QB_vs_WR,Trevor Lawrence,Calvin Ridley,7523,4981,7137,6943,194,180.4,40.1,140.3
2021,QB,WR,QB_vs_WR,Russell Wilson,Stefon Diggs,1234,2449,6545,6733,-188,218.8,168.4,50.4
2021,QB,WR,QB_vs_WR,Justin Fields,Stefon Diggs,7591,2449,6536,6733,-197,126.8,168.4,-41.6
2021,QB,WR,QB_vs_WR,Joe Burrow,Terry McLaurin,6770,5927,6214,6217,-3,314.2,127.2,187
2021,QB,WR,QB_vs_WR,Zach Wilson,DeAndre Hopkins,7538,1426,5928,5898,30,142,105.2,36.8
2021,QB,WR,QB_vs_WR,Aaron Rodgers,D.J. Moore,96,4983,5366,5548,-182,318.1,134.5,183.6
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Ja'Marr Chase,96,7564,5366,5523,-157,318.1,221,97.1
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Jerry Jeudy,96,6783,5366,5513,-147,318.1,44,274.1
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Chris Godwin,96,4037,5366,5499,-133,318.1,144.4,173.7
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Brandon Aiyuk,96,6803,5366,5456,-90,318.1,103.6,214.5
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Tee Higgins,96,6801,5366,5450,-84,318.1,145.1,173
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Keenan Allen,96,1479,5366,5229,137,318.1,146.6,171.5
2021,QB,WR,QB_vs_WR,Aaron Rodgers,Amari Cooper,96,2309,5366,5187,179,318.1,126.6,191.5
2021,QB,WR,QB_vs_WR,Ryan Tannehill,D.J. Moore,1049,4983,5362,5548,-186,241.1,134.5,106.6
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Ja'Marr Chase,1049,7564,5362,5523,-161,241.1,221,20.1
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Jerry Jeudy,1049,6783,5362,5513,-151,241.1,44,197.1
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Chris Godwin,1049,4037,5362,5499,-137,241.1,144.4,96.7
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Brandon Aiyuk,1049,6803,5362,5456,-94,241.1,103.6,137.5
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Tee Higgins,1049,6801,5362,5450,-88,241.1,145.1,96
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Keenan Allen,1049,1479,5362,5229,133,241.1,146.6,94.5
2021,QB,WR,QB_vs_WR,Ryan Tannehill,Amari Cooper,1049,2309,5362,5187,175,241.1,126.6,114.5
2021,QB,WR,QB_vs_WR,Matthew Stafford,Keenan Allen,421,1479,5214,5229,-15,312.2,146.6,165.6
2021,QB,WR,QB_vs_WR,Matthew Stafford,Amari Cooper,421,2309,5214,5187,27,312.2,126.6,185.6
2021,QB,WR,QB_vs_WR,Matthew Stafford,Chase Claypool,421,6886,5214,5033,181,312.2,94.6,217.6
2021,QB,WR,QB_vs_WR,Mac Jones,Keenan Allen,7527,1479,5168,5229,-61,214.1,146.6,67.5
2021,QB,WR,QB_vs_WR,Mac Jones,Amari Cooper,7527,2309,5168,5187,-19,214.1,126.6,87.5
2021,QB,WR,QB_vs_WR,Mac Jones,Chase Claypool,7527,6886,5168,5033,135,214.1,94.6,119.5
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Keenan Allen,6768,1479,5065,5229,-164,168.8,146.6,22.2
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Amari Cooper,6768,2309,5065,5187,-122,168.8,126.6,42.2
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Chase Claypool,6768,6886,5065,5033,32,168.8,94.6,74.2
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Mike Evans,6768,2216,5065,4933,132,168.8,167.6,1.2
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,DeVonta Smith,6768,7525,5065,4902,163,168.8,117.5,51.3
2021,QB,WR,QB_vs_WR,Tua Tagovailoa,Jaylen Waddle,6768,7526,5065,4878,187,168.8,133.1,35.7
2021,QB,WR,QB_vs_WR,Baker Mayfield,Chase Claypool,4892,6886,4980,5033,-53,180.9,94.6,86.3
2021,QB,WR,QB_vs_WR,Baker Mayfield,Mike Evans,4892,2216,4980,4933,47,180.9,167.6,13.3
2021,QB,WR,QB_vs_WR,Baker Mayfield,DeVonta Smith,4892,7525,4980,4902,78,180.9,117.5,63.4
2021,QB,WR,QB_vs_WR,Baker Mayfield,Jaylen Waddle,4892,7526,4980,4878,102,180.9,133.1,47.8
2021,QB,WR,QB_vs_WR,Jalen Hurts,Mike Evans,6904,2216,4760,4933,-173,312.2,167.6,144.6
2021,QB,WR,QB_vs_WR,Jalen Hurts,DeVonta Smith,6904,7525,4760,4902,-142,312.2,117.5,194.7
2021,QB,WR,QB_vs_WR,Jalen Hurts,Jaylen Waddle,6904,7526,4760,4878,-118,312.2,133.1,179.1
2021,QB,WR,QB_vs_WR,Jalen Hurts,Cooper Kupp,6904,4039,4760,4695,65,312.2,274.9,37.3
2021,QB,WR,QB_vs_WR,Jalen Hurts,Diontae Johnson,6904,5937,4760,4681,79,312.2,162.3,149.9
2021,QB,WR,QB_vs_WR,Jameis Winston,JuJu Smith-Schuster,2306,4040,3589,3762,-173,117.4,19.8,97.6
2021,QB,WR,QB_vs_WR,Jameis Winston,Darnell Mooney,2306,7090,3589,3639,-50,117.4,126.1,-8.7
2021,QB,WR,QB_vs_WR,Jameis Winston,Tyler Boyd,2306,3225,3589,3637,-48,117.4,116.8,0.6
2021,QB,WR,QB_vs_WR,Jameis Winston,Michael Pittman,2306,6819,3589,3602,-13,117.4,136.2,-18.8
2021,QB,WR,QB_vs_WR,Jameis Winston,D.J. Chark,2306,4951,3589,3435,154,117.4,27.4,90
2021,QB,WR,QB_vs_WR,Jameis Winston,Michael Gallup,2306,5038,3589,3433,156,117.4,56.5,60.9
