name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,as_of,adp_source
David Montgomery,RB,HOU,3455,28,20,19.77,50.2,43.7,4554,1.3181,2905,0.8408,,2026-08-02,hwang_adjusted_positional_adp_2026
Ty Simpson,QB,LAR,3450,28,67,67.1,367.5,367.5,373,0.1081,5430,1.5739,,2026-08-02,hwang_adjusted_positional_adp_2026
Wan'Dale Robinson,WR,TEN,3424,43,53,53.32,108.2,134.6,2493,0.7281,3735,1.0908,,2026-08-02,hwang_adjusted_positional_adp_2026
Davante Adams,WR,LAR,3415,44,26,25.7,52.8,53.5,4995,1.4627,2339,0.6849,,2026-08-02,hwang_adjusted_positional_adp_2026
RJ Harvey,RB,DEN,3408,30,31,30.79,81.6,81.6,3341,0.9803,3384,0.993,,2026-08-02,hwang_adjusted_positional_adp_2026
Denzel Boston,WR,CLE,3407,45,65,65.1,163.4,169.8,1530,0.4491,4065,1.1931,,2026-08-02,hwang_adjusted_positional_adp_2026
Jayden Higgins,WR,HOU,3399,46,52,51.87,131.0,125.4,2666,0.7843,3568,1.0497,,2026-08-02,hwang_adjusted_positional_adp_2026
Zach Charbonnet,RB,SEA,3397,31,51,50.6,156.4,162.2,1498,0.441,4152,1.2223,,2026-08-02,hwang_adjusted_positional_adp_2026
Travis Hunter,WR,JAC,3386,47,66,66.31,172.3,172.3,1482,0.4377,3974,1.1737,,2026-08-02,hwang_adjusted_positional_adp_2026
Michael Pittman,WR,PIT,3383,48,46,46.27,101.0,104.3,3244,0.9589,3338,0.9867,,2026-08-02,hwang_adjusted_positional_adp_2026
Jayden Reed,WR,GBP,3371,49,40,40.29,98.6,96.2,3661,1.086,3214,0.9534,,2026-08-02,hwang_adjusted_positional_adp_2026
Mike Evans,WR,SFO,3351,50,24,24.3,54.4,52.2,5095,1.5204,1779,0.5309,,2026-08-02,hwang_adjusted_positional_adp_2026
Xavier Worthy,WR,KCC,3348,51,45,45.09,111.6,103.8,3372,1.0072,3250,0.9707,,2026-08-02,hwang_adjusted_positional_adp_2026
Jaylen Warren,RB,PIT,3338,32,28,27.94,74.8,74.8,3549,1.0632,3224,0.9658,,2026-08-02,hwang_adjusted_positional_adp_2026
AJ Barner,TE,SEA,3220,17,24,24.39,184.4,184.4,2396,0.7441,3560,1.1056,,2026-08-02,hwang_adjusted_positional_adp_2026
Chigoziem Okonkwo,TE,WAS,3216,18,16,16.38,141.0,141.0,3318,1.0317,3139,0.9761,,2026-08-02,hwang_adjusted_positional_adp_2026
Jalen Coker,WR,CAR,3198,52,55,54.79,136.6,136.6,2386,0.7461,3282,1.0263,,2026-08-02,hwang_adjusted_positional_adp_2026
Mark Andrews,TE,BAL,3198,19,15,14.72,123.8,123.8,3544,1.1082,3023,0.9453,,2026-08-02,hwang_adjusted_positional_adp_2026
Chuba Hubbard,RB,CAR,3189,33,27,27.27,73.2,73.2,3590,1.1257,2988,0.937,,2026-08-02,hwang_adjusted_positional_adp_2026
Terrance Ferguson,TE,LAR,3160,20,31,30.95,212.8,212.8,1815,0.5744,3630,1.1487,,2026-08-02,hwang_adjusted_positional_adp_2026
De'Zhaun Stribling,WR,SFO,3142,53,70,69.95,204.0,181.0,1285,0.409,3597,1.1448,,2026-08-02,hwang_adjusted_positional_adp_2026
