year,ktc_snapshot_date,name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,adp_source
2020,2020-09-10,Devin Singletary,RB,,4588,21,25,24.84,50.0,50.9,3054,0.6656,5930,1.2925,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Sam Darnold,QB,,4560,16,28,27.81,189.0,189.0,1411,0.3094,7318,1.6048,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Kirk Cousins,QB,,4448,17,23,22.6,162.0,162.0,2854,0.6416,5862,1.3179,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Diontae Johnson,WR,,4431,31,40,40.4,85.5,100.5,3030,0.6838,5484,1.2376,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Antonio Gibson,RB,,4360,22,33,33.4,82.5,84.0,1767,0.4053,6415,1.4713,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Dallas Goedert,TE,,4344,10,16,16.04,132.5,132.5,2496,0.5746,5899,1.358,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Michael Pittman,WR,,4257,32,56,64.2,159.5,148.0,981,0.2304,6825,1.6032,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Brandon Aiyuk,WR,,4234,33,57,65.95,154.5,148.8,902,0.213,6837,1.6148,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Mike Gesicki,TE,,4233,11,14,13.75,121.0,121.0,2993,0.7071,5344,1.2625,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tee Higgins,WR,,4138,34,70,79.65,218.0,204.5,1224,0.2958,6349,1.5343,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Christian Kirk,WR,,4134,35,35,35.4,93.0,85.5,3552,0.8592,4673,1.1304,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jimmy Garoppolo,QB,,4131,18,21,20.99,154.0,154.0,3508,0.8492,4695,1.1365,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Ryan Tannehill,QB,,4121,19,20,19.77,146.5,146.5,3746,0.909,4468,1.0842,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Justin Herbert,QB,,4085,20,34,34.49,289.0,289.0,1274,0.3119,6462,1.5819,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Darius Slayton,WR,,4008,36,44,44.4,102.0,102.0,2513,0.627,5208,1.2994,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Hayden Hurst,TE,,3964,12,8,7.96,92.5,92.5,4094,1.0328,3935,0.9927,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Zack Moss,RB,,3952,23,40,46.15,85.0,93.0,843,0.2133,6407,1.6212,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Brandin Cooks,WR,,3854,37,37,36.63,88.0,85.8,3435,0.8913,4243,1.1009,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Gardner Minshew,QB,,3847,21,22,22.4,162.0,162.0,2931,0.7619,4692,1.2197,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Mecole Hardman,WR,,3710,38,42,41.6,113.5,100.5,2812,0.758,4502,1.2135,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Denzel Mims,WR,,3621,39,66,76.52,215.5,197.7,1321,0.3648,5383,1.4866,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Raheem Mostert,RB,,3542,24,23,23.3,49.0,49.9,3353,0.9466,3717,1.0494,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Austin Hooper,TE,,3445,13,13,13.0,119.0,119.0,3058,0.8877,3804,1.1042,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tyler Higbee,TE,,3394,14,7,7.26,90.0,90.0,4235,1.2478,3199,0.9425,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Mike Williams,WR,,3377,40,43,43.19,146.5,101.6,2640,0.7818,4037,1.1954,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jonnu Smith,TE,,3366,15,17,16.8,134.5,134.5,2143,0.6367,4489,1.3336,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Alexander Mattison,RB,,3321,25,46,53.19,115.5,119.8,1264,0.3806,4977,1.4986,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Laviska Shenault,WR,,3247,41,74,79.69,189.5,213.9,1223,0.3767,4894,1.5072,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Derek Carr,QB,,3192,22,27,26.78,179.0,179.0,1644,0.515,4611,1.4445,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,AJ Dillon,RB,,3131,26,52,53.25,155.5,148.3,1261,0.4027,4671,1.4919,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Curtis Samuel,WR,,2759,42,54,63.0,156.5,148.0,1018,0.369,4331,1.5698,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Parris Campbell,WR,,2716,43,72,79.67,168.5,207.8,1223,0.4503,4055,1.493,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Irv Smith,TE,,2656,16,23,27.38,176.5,176.5,944,0.3554,4171,1.5704,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Chase Claypool,WR,,2589,44,84,84.16,234.5,245.5,1089,0.4206,3972,1.5342,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Jordan Love,QB,,2545,23,42,42.0,,,734,0.2884,3640,1.4303,1,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tony Pollard,RB,,2512,27,49,53.22,127.0,131.8,1263,0.5028,3716,1.4793,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Van Jefferson,WR,,2374,45,85,84.94,258.0,247.0,1068,0.4499,3650,1.5375,,hwang_adjusted_positional_adp_2020
