format,year,pair_key,player_id_a,player_id_b
hwang,2021,RB_vs_WR,7607,2078
hwang,2021,RB_vs_WR,7607,1689
hwang,2021,RB_vs_WR,7607,2197
hwang,2021,RB_vs_WR,7611,2197
hwang,2021,RB_vs_WR,7611,4068
hwang,2021,RB_vs_WR,7611,5848
hwang,2021,RB_vs_WR,2749,4068
hwang,2021,RB_vs_WR,2749,5848
hwang,2021,RB_vs_WR,5967,5848
hwang,2021,RB_vs_WR,5967,6943
hwang,2021,RB_vs_WR,5967,7547
hwang,2021,RB_vs_WR,5967,7587
hwang,2021,RB_vs_WR,6845,6943
hwang,2021,RB_vs_WR,6845,7547
hwang,2021,RB_vs_WR,6845,7587
hwang,2021,RB_vs_WR,7567,7606
hwang,2021,RB_vs_WR,4149,7606
hwang,2021,RB_vs_WR,4149,7569
hwang,2021,RB_vs_WR,5347,7606
hwang,2021,RB_vs_WR,5347,7569
hwang,2021,RB_vs_WR,5347,5917
hwang,2021,RB_vs_WR,5347,7670
hwang,2021,RB_vs_WR,7594,7569
hwang,2021,RB_vs_WR,7594,5917
hwang,2021,RB_vs_WR,7594,7670
hwang,2021,RB_vs_WR,6130,2319
hwang,2021,RB_vs_WR,5987,6805
hwang,2021,RB_vs_WR,4137,6849
hwang,2021,RB_vs_WR,4137,4950
hwang,2021,RB_vs_WR,4137,6927
hwang,2021,RB_vs_WR,6039,4950
hwang,2021,RB_vs_WR,6039,6927
hwang,2021,RB_vs_WR,6039,6149
hwang,2021,RB_vs_WR,6039,6853
hwang,2021,RB_vs_WR,7608,4950
hwang,2021,RB_vs_WR,7608,6927
hwang,2021,RB_vs_WR,7608,6149
hwang,2021,RB_vs_WR,7608,6853
hwang,2021,RB_vs_WR,7561,6149
hwang,2021,RB_vs_WR,7561,6853
hwang,2021,RB_vs_WR,7561,2325
hwang,2021,RB_vs_WR,7561,5026
hwang,2021,RB_vs_WR,4985,5026
hwang,2021,RB_vs_WR,4985,6960
hwang,2021,RB_vs_WR,4985,7595
hwang,2021,RB_vs_WR,6918,5026
hwang,2021,RB_vs_WR,6918,6960
hwang,2021,RB_vs_WR,6918,7595
hwang,2021,RB_vs_WR,7794,6960
hwang,2021,RB_vs_WR,7794,7595
hwang,2021,RB_vs_WR,7794,5955
hwang,2021,RB_vs_WR,5122,5185
hwang,2021,RB_vs_WR,6885,3286
hwang,2021,RB_vs_WR,6885,7559
hwang,2021,RB_vs_WR,6885,7713
hwang,2021,RB_vs_WR,6931,7713
hwang,2021,RB_vs_WR,6931,4351
hwang,2021,RB_vs_WR,6931,6847
hwang,2021,RB_vs_WR,5284,4351
hwang,2021,RB_vs_WR,5284,6847
hwang,2021,RB_vs_WR,7045,4454
hwang,2021,RB_vs_WR,1535,5323
hwang,2021,RB_vs_TE,4029,1466
hwang,2021,RB_vs_TE,4029,7553
hwang,2021,RB_vs_TE,4029,4217
hwang,2021,RB_vs_TE,4035,1466
hwang,2021,RB_vs_TE,4035,7553
hwang,2021,RB_vs_TE,4035,4217
hwang,2021,RB_vs_TE,6813,1466
hwang,2021,RB_vs_TE,6813,7553
hwang,2021,RB_vs_TE,6813,4217
hwang,2021,RB_vs_TE,7528,1466
hwang,2021,RB_vs_TE,7528,7553
hwang,2021,RB_vs_TE,7528,4217
hwang,2021,RB_vs_TE,7528,2505
hwang,2021,RB_vs_TE,4866,7553
hwang,2021,RB_vs_TE,4866,4217
hwang,2021,RB_vs_TE,4866,2505
hwang,2021,RB_vs_TE,6945,4217
hwang,2021,RB_vs_TE,6945,2505
hwang,2021,RB_vs_TE,3198,5844
hwang,2021,RB_vs_TE,4199,5844
hwang,2021,RB_vs_TE,6790,5844
hwang,2021,RB_vs_TE,6820,5844
hwang,2021,RB_vs_TE,4663,5844
hwang,2021,RB_vs_TE,3164,5844
hwang,2021,RB_vs_TE,3164,5012
hwang,2021,RB_vs_TE,7588,5844
hwang,2021,RB_vs_TE,7588,5012
hwang,2021,RB_vs_TE,4018,5012
hwang,2021,RB_vs_TE,4098,7600
hwang,2021,RB_vs_TE,6828,7600
hwang,2021,RB_vs_TE,6828,5022
hwang,2021,RB_vs_TE,5980,7600
hwang,2021,RB_vs_TE,5980,5022
hwang,2021,RB_vs_TE,5980,4993
hwang,2021,RB_vs_TE,5000,4993
hwang,2021,RB_vs_TE,7607,4993
hwang,2021,RB_vs_TE,7611,4144
hwang,2021,RB_vs_TE,7611,3271
hwang,2021,RB_vs_TE,2749,4144
hwang,2021,RB_vs_TE,2749,3271
hwang,2021,RB_vs_TE,2749,6826
hwang,2021,RB_vs_TE,5967,3271
hwang,2021,RB_vs_TE,5967,6826
hwang,2021,RB_vs_TE,6845,3271
hwang,2021,RB_vs_TE,6845,6826
hwang,2021,RB_vs_TE,7567,3214
hwang,2021,RB_vs_TE,4149,3214
hwang,2021,RB_vs_TE,6130,6869
hwang,2021,RB_vs_TE,6130,4066
hwang,2021,RB_vs_TE,4137,7828
hwang,2021,RB_vs_TE,4137,4089
hwang,2021,RB_vs_TE,4137,3202
hwang,2021,RB_vs_TE,4137,6850
hwang,2021,RB_vs_TE,6039,7828
hwang,2021,RB_vs_TE,6039,4089
hwang,2021,RB_vs_TE,6039,3202
hwang,2021,RB_vs_TE,6039,6850
hwang,2021,RB_vs_TE,7608,7828
hwang,2021,RB_vs_TE,7608,4089
hwang,2021,RB_vs_TE,7608,3202
hwang,2021,RB_vs_TE,7608,6850
hwang,2021,RB_vs_TE,7561,4381
hwang,2021,RB_vs_TE,4985,4381
hwang,2021,RB_vs_TE,4985,5001
hwang,2021,RB_vs_TE,4985,1339
hwang,2021,RB_vs_TE,6918,4381
hwang,2021,RB_vs_TE,6918,5001
hwang,2021,RB_vs_TE,6918,1339
hwang,2021,RB_vs_TE,7794,4381
hwang,2021,RB_vs_TE,7794,5001
hwang,2021,RB_vs_TE,7794,1339
hwang,2021,RB_vs_TE,7794,5906
hwang,2021,RB_vs_TE,7794,4033
hwang,2021,RB_vs_TE,5122,7002
hwang,2021,RB_vs_TE,5122,6074
hwang,2021,RB_vs_TE,5122,7568
hwang,2021,RB_vs_TE,5284,7535
hwang,2021,RB_vs_TE,6951,5010
hwang,2021,RB_vs_TE,7045,7602
hwang,2021,RB_vs_TE,2161,4054
hwang,2021,RB_vs_TE,2161,6843
hwang,2021,RB_vs_TE,4147,6001
hwang,2021,WR_vs_TE,3321,1466
hwang,2021,WR_vs_TE,3321,7553
hwang,2021,WR_vs_TE,3321,4217
hwang,2021,WR_vs_TE,5846,1466
hwang,2021,WR_vs_TE,5846,7553
hwang,2021,WR_vs_TE,5846,4217
hwang,2021,WR_vs_TE,5859,7553
hwang,2021,WR_vs_TE,5859,4217
hwang,2021,WR_vs_TE,5859,2505
hwang,2021,WR_vs_TE,4981,7553
hwang,2021,WR_vs_TE,4981,4217
hwang,2021,WR_vs_TE,4981,2505
hwang,2021,WR_vs_TE,2133,7553
hwang,2021,WR_vs_TE,2133,4217
hwang,2021,WR_vs_TE,2133,2505
hwang,2021,WR_vs_TE,6786,7553
hwang,2021,WR_vs_TE,6786,4217
hwang,2021,WR_vs_TE,6786,2505
hwang,2021,WR_vs_TE,2449,4217
hwang,2021,WR_vs_TE,2449,2505
hwang,2021,WR_vs_TE,5927,5844
hwang,2021,WR_vs_TE,1426,5844
hwang,2021,WR_vs_TE,4983,5012
hwang,2021,WR_vs_TE,7564,5012
hwang,2021,WR_vs_TE,6783,5012
