format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
hwang,archetype,2022,2025_1,RB_vs_WR,RB,WR,3910,246558.6,186191.8,27.9
hwang,archetype,2022,2025_1,RB_vs_TE,RB,TE,1670,68852.3,70294.5,-2.1
hwang,archetype,2022,2025_1,WR_vs_TE,WR,TE,1870,69904.2,84616.6,-19
hwang,archetype,2022,2025_2,QB_vs_RB,QB,RB,1260,62656.9,89553.2,-35.3
hwang,archetype,2022,2025_2,QB_vs_WR,QB,WR,2000,105146.5,103402.8,1.7
hwang,archetype,2022,2025_2,QB_vs_TE,QB,TE,590,24319.8,26224.6,-7.5
hwang,archetype,2022,2025_2,RB_vs_WR,RB,WR,3910,278769.4,179308.7,43.4
hwang,archetype,2022,2025_2,RB_vs_TE,RB,TE,1670,79053.9,72105,9.2
hwang,archetype,2022,2025_2,WR_vs_TE,WR,TE,1870,67169.4,86305.9,-24.9
hwang,archetype,2022,2025_3,QB_vs_RB,QB,RB,1260,85926.7,81031.8,5.9
hwang,archetype,2022,2025_3,QB_vs_WR,QB,WR,2000,140370.3,93872.5,39.7
hwang,archetype,2022,2025_3,QB_vs_TE,QB,TE,590,33768.2,21888,42.7
hwang,archetype,2022,2025_3,RB_vs_WR,RB,WR,3910,252155.2,162640.5,43.2
hwang,archetype,2022,2025_3,RB_vs_TE,RB,TE,1670,71003.9,59761.9,17.2
hwang,archetype,2022,2025_3,WR_vs_TE,WR,TE,1870,60285.2,73308.1,-19.5
hwang,archetype,2022,2025_4,QB_vs_RB,QB,RB,1260,44109.4,72547.1,-48.8
hwang,archetype,2022,2025_4,QB_vs_WR,QB,WR,2000,70053.3,74475.2,-6.1
hwang,archetype,2022,2025_4,QB_vs_TE,QB,TE,590,16495.8,18410.1,-11
hwang,archetype,2022,2025_4,RB_vs_WR,RB,WR,3910,225642.4,127535.1,55.6
hwang,archetype,2022,2025_4,RB_vs_TE,RB,TE,1670,62657.4,50314.8,21.9
hwang,archetype,2022,2025_4,WR_vs_TE,WR,TE,1870,46157.1,62104.7,-29.5
hwang,archetype,2022,2025_5,QB_vs_RB,QB,RB,1260,74883.7,85223.5,-12.9
hwang,archetype,2022,2025_5,QB_vs_WR,QB,WR,2000,121276.4,112970.6,7.1
hwang,archetype,2022,2025_5,QB_vs_TE,QB,TE,590,28490,24582.9,14.7
hwang,archetype,2022,2025_5,RB_vs_WR,RB,WR,3910,265305.5,197689,29.2
hwang,archetype,2022,2025_5,RB_vs_TE,RB,TE,1670,74758.1,67249.5,10.6
hwang,archetype,2022,2025_5,WR_vs_TE,WR,TE,1870,74678.6,81928.7,-9.3
hwang,archetype,2022,2025_6,QB_vs_RB,QB,RB,1260,123858.1,98194.7,23.1
hwang,archetype,2022,2025_6,QB_vs_WR,QB,WR,2000,202224.1,116076,54.1
hwang,archetype,2022,2025_6,QB_vs_TE,QB,TE,590,49567.7,31854.4,43.5
