format,year,archetype_id,player_id,avg_hvorp,build_count
hwang,2021,2024_3,4035,124.9,10
hwang,2021,2024_3,4037,100.9,10
hwang,2021,2024_3,4039,225.1,10
hwang,2021,2024_3,4040,8,10
hwang,2021,2024_3,4046,165.8,10
hwang,2021,2024_3,4054,33.1,10
hwang,2021,2024_3,4066,38.3,10
hwang,2021,2024_3,4068,102,10
hwang,2021,2024_3,4080,28.1,10
hwang,2021,2024_3,4082,0.3,10
hwang,2021,2024_3,4089,48.2,10
hwang,2021,2024_3,4098,57.5,10
hwang,2021,2024_3,4111,49.8,10
hwang,2021,2024_3,4137,152.5,10
hwang,2021,2024_3,4144,18,10
hwang,2021,2024_3,4147,28.8,10
hwang,2021,2024_3,4149,48.7,10
hwang,2021,2024_3,4171,26.5,10
hwang,2021,2024_3,4179,0,10
hwang,2021,2024_3,4198,36.5,10
hwang,2021,2024_3,4199,129.3,10
hwang,2021,2024_3,4217,106,10
hwang,2021,2024_3,4234,6.7,10
hwang,2021,2024_3,4351,53.7,10
hwang,2021,2024_3,4381,71.2,10
hwang,2021,2024_3,4454,77.3,10
hwang,2021,2024_3,4464,0,10
hwang,2021,2024_3,4663,199.4,10
hwang,2021,2024_3,4866,60.6,10
hwang,2021,2024_3,4881,141.4,10
hwang,2021,2024_3,4892,57.8,10
hwang,2021,2024_3,4943,62.6,10
hwang,2021,2024_3,4950,78.7,10
hwang,2021,2024_3,4951,14.2,10
hwang,2021,2024_3,4972,9.6,10
hwang,2021,2024_3,4973,19.9,10
hwang,2021,2024_3,4981,23.9,10
hwang,2021,2024_3,4983,82.8,10
hwang,2021,2024_3,4984,196.1,10
hwang,2021,2024_3,4985,69.3,10
hwang,2021,2024_3,4988,144,10
hwang,2021,2024_3,4993,72.4,10
hwang,2021,2024_3,5000,61.3,10
hwang,2021,2024_3,5001,96.7,10
hwang,2021,2024_3,5008,13.8,10
hwang,2021,2024_3,5010,8.4,10
hwang,2021,2024_3,5012,169.2,10
hwang,2021,2024_3,5022,86.3,10
