league,match_id,minute,elapsed,elapsed_plus
England Premier League,1882,73,73,0
England Premier League,1883,21,21,0
England Premier League,1884,41,41,0
England Premier League,1884,83,83,0
England Premier League,1885,61,61,0
England Premier League,1885,92,90,2
England Premier League,1886,17,17,0
England Premier League,1886,77,77,0
England Premier League,1886,81,81,0
England Premier League,1887,15,15,0
England Premier League,1887,35,35,0
England Premier League,1887,66,66,0
England Premier League,1887,87,87,0
England Premier League,1888,58,58,0
England Premier League,1888,80,80,0
England Premier League,1889,44,44,0
England Premier League,1891,89,89,0
England Premier League,1891,94,90,4
England Premier League,1894,32,32,0
England Premier League,1894,69,69,0
England Premier League,1895,14,14,0
England Premier League,1895,71,71,0
England Premier League,1895,80,80,0
England Premier League,1895,84,84,0
England Premier League,1896,31,31,0
England Premier League,1896,64,64,0
England Premier League,1896,73,73,0
England Premier League,1896,75,75,0
England Premier League,1896,87,87,0
England Premier League,1897,44,44,0
England Premier League,1897,53,53,0
England Premier League,1897,69,69,0
England Premier League,1897,73,73,0
England Premier League,1898,50,45,5
England Premier League,1899,78,78,0
England Premier League,1899,95,90,5
England Premier League,1901,62,62,0
England Premier League,1902,40,40,0
England Premier League,1902,49,49,0
England Premier League,1902,93,90,3
England Premier League,1903,51,51,0
England Premier League,1904,27,27,0
England Premier League,1904,91,90,1
England Premier League,1905,2,2,0
England Premier League,1905,4,4,0
England Premier League,1905,9,9,0
England Premier League,1905,40,40,0
England Premier League,1905,73,73,0
England Premier League,1906,62,62,0
England Premier League,1906,69,69,0
England Premier League,1906,78,78,0
England Premier League,1906,85,85,0
England Premier League,1906,92,90,2
England Premier League,1909,23,23,0
England Premier League,1909,32,32,0
England Premier League,1909,60,60,0
England Premier League,1911,51,51,0
England Premier League,1911,78,78,0
England Premier League,1912,19,19,0
England Premier League,1915,61,61,0
England Premier League,1915,72,72,0
England Premier League,1916,9,9,0
England Premier League,1916,11,11,0
England Premier League,1916,66,66,0
England Premier League,1917,17,17,0
England Premier League,1917,27,27,0
England Premier League,1917,86,86,0
England Premier League,1918,75,75,0
England Premier League,1918,78,78,0
England Premier League,1918,80,80,0
England Premier League,1918,92,90,2
England Premier League,1919,9,9,0
England Premier League,1919,82,82,0
England Premier League,1921,3,3,0
England Premier League,1921,89,89,0
England Premier League,1922,71,71,0
England Premier League,1923,45,45,0
England Premier League,1923,79,79,0
England Premier League,1923,88,88,0
England Premier League,1923,91,90,1
England Premier League,1924,36,36,0
England Premier League,1924,70,70,0
England Premier League,1925,32,32,0
England Premier League,1925,63,63,0
England Premier League,1926,47,47,0
England Premier League,1927,34,34,0
England Premier League,1927,37,37,0
England Premier League,1927,79,79,0
England Premier League,1928,25,25,0
England Premier League,1928,83,83,0
England Premier League,1928,91,90,1
England Premier League,1929,9,9,0
England Premier League,1929,14,14,0
England Premier League,1929,40,40,0
England Premier League,1929,79,79,0
